group_value,n,p_up,mean_ret,median_ret,std_ret,q05_ret,group_type
丁,389,0.5347043701799485,0.0009380166146042658,0.0008718811176602337,0.014348508347483899,-0.019702160281417535,stem
丙,395,0.4759493670886076,-0.0018181284635987614,-0.0009210957304880418,0.014669475367900304,-0.023584822972161208,stem
乙,396,0.4722222222222222,0.0002547741207287323,-0.0004891378508971589,0.014264137095627863,-0.01851587631627538,stem
壬,389,0.5347043701799485,0.00046121712380914836,0.0010101543107716715,0.012994500954720984,-0.01952667463366098,stem
己,392,0.5178571428571429,0.0003745505627008925,0.00030822708120659126,0.012375804395703412,-0.01896533056170959,stem
庚,389,0.506426735218509,0.00039995666542143055,9.684176834712233e-05,0.013758756390160257,-0.019721999128671053,stem
戊,390,0.5102564102564102,0.00028026055403880654,0.000250344418809334,0.013898976759818535,-0.021089956719699852,stem
甲,394,0.4873096446700508,-0.0005276342612907262,-0.0008383855685470398,0.013307998593790095,-0.019180023573098726,stem
癸,387,0.5555555555555556,0.001191009892093488,0.0007500565082849686,0.013547100107214728,-0.017392456818143887,stem
辛,395,0.5012658227848101,9.606511288799434e-05,8.756202309978534e-05,0.0126398096606214,-0.020023481446842163,stem
丑,328,0.5060975609756098,-5.1132674592292736e-05,0.0001280547874651372,0.012999684075426387,-0.020276533208429565,branch
亥,324,0.5432098765432098,0.0010690339402839543,0.0007805343573665802,0.012545165389463202,-0.016967668538962605,branch
午,326,0.4601226993865031,-0.0010313853790393478,-0.001506940555263958,0.01378303012553472,-0.01957989428659182,branch
卯,332,0.5301204819277109,0.0009595219870798202,0.0005034245975232832,0.012493568851728526,-0.0156428371512499,branch
子,325,0.52,0.0010158649966263917,0.0005137559737735664,0.0140242463146498,-0.019462469245338565,branch
寅,330,0.49696969696969695,-0.0006798471604922307,-9.155494549273335e-05,0.014156382371424378,-0.02384692093990707,branch
巳,327,0.4892966360856269,0.0001054561373478725,-0.00026196083946306015,0.012994913748071199,-0.018989564006888913,branch
戌,326,0.5306748466257669,0.0011888780063535303,0.000989845371424658,0.01247510032543172,-0.01820095113250189,branch
未,323,0.5386996904024768,0.0005098851005653392,0.0008032011780960691,0.014113462293885274,-0.021998159761649993,branch
申,317,0.4952681388012618,-0.0006519465692147982,-0.00015971371419376545,0.01402863743913933,-0.021961883680984416,branch
辰,333,0.5135135135135135,-0.001297995546512615,0.00014749549007775364,0.013877131521925323,-0.021576947055517715,branch
酉,325,0.48923076923076925,0.00081272479940842,-0.00013326470659891232,0.015413043489792349,-0.017443809597695648,branch
丁丑,65,0.49230769230769234,-0.00014896386601723083,-9.643674161152749e-05,0.017203680255054116,-0.02076931305451677,ganzhi_day
丁亥,64,0.6875,0.00401018792508407,0.0015252837041633827,0.0127714108212112,-0.012272803097937207,ganzhi_day
丁卯,64,0.390625,-0.002691658347770824,-0.0018284807687301008,0.012458842296414405,-0.016240011471935777,ganzhi_day
丁巳,67,0.5373134328358209,-0.00033165077134004334,0.0003784702963782749,0.010897940347195973,-0.018928997461398166,ganzhi_day
丁未,65,0.6,0.0015832949272165438,0.0033419438175956717,0.01618530086738243,-0.023168214484488626,ganzhi_day
丁酉,64,0.5,0.003273307075544362,2.023385610039341e-05,0.01505136786795871,-0.013108795651962062,ganzhi_day
丙午,66,0.3939393939393939,-0.0046650828380742386,-0.005174157287814896,0.015614705672338032,-0.02239920147672661,ganzhi_day
丙子,67,0.43283582089552236,-0.003747660351063114,-0.0010340225722917928,0.016022001596088638,-0.03153757048372972,ganzhi_day
丙寅,64,0.46875,-0.0035918884327516432,-0.0018260021537269133,0.017931457581371234,-0.030821661354599274,ganzhi_day
丙戌,67,0.5522388059701493,0.0016711673528183937,0.0016575260993538787,0.013626561962509744,-0.01831403856765652,ganzhi_day
丙申,65,0.5538461538461539,0.000607374749582952,0.00040732376089303024,0.011401026591037752,-0.02178610183104097,ganzhi_day
丙辰,66,0.45454545454545453,-0.0012233143023182048,-0.001378311997226933,0.011739087795132922,-0.01852404968280144,ganzhi_day
乙丑,66,0.5303030303030303,0.0002039493783107577,0.0016840612943318511,0.013738618839756135,-0.022189112544332784,ganzhi_day
乙亥,66,0.4393939393939394,-0.00046828849881031984,-0.001015975556433124,0.013539851297564014,-0.025553984636289773,ganzhi_day
乙卯,69,0.5217391304347826,0.001940696619469949,0.00044042548202205545,0.012843403921211007,-0.014068171914553517,ganzhi_day
乙巳,66,0.48484848484848486,0.001427888433110534,-7.437460730058687e-05,0.012769384008287546,-0.016539422945935495,ganzhi_day
乙未,64,0.453125,-0.0003979674742851016,-0.0008255990051104223,0.016736618140732153,-0.018789983481992033,ganzhi_day
乙酉,65,0.4,-0.0012975669417373253,-0.002021399938410995,0.015917579542465445,-0.01625616735039124,ganzhi_day
壬午,63,0.4603174603174603,-0.0008191351696466538,-0.0015122779945794251,0.010851637173149093,-0.01583335528244162,ganzhi_day
壬子,66,0.6212121212121212,0.005097477262252577,0.004436466885994639,0.012967962832754877,-0.016829132288374904,ganzhi_day
壬寅,67,0.6119402985074627,0.0022524836715278026,0.0043867232830216984,0.011431196550502872,-0.018126201847384536,ganzhi_day
壬戌,64,0.515625,0.000342226834301863,0.00018749099862924723,0.011028401558966129,-0.01912641056896604,ganzhi_day
壬申,63,0.47619047619047616,-0.003423448642618195,-0.00015971371419376545,0.016997407148738188,-0.034362448963240554,ganzhi_day
壬辰,66,0.5151515151515151,-0.000947820929725877,0.00120433168207712,0.012567189799141272,-0.021738830137663895,ganzhi_day
己丑,64,0.53125,-1.550083337525758e-05,0.0004443468894229641,0.009681663766404515,-0.013349570153687618,ganzhi_day
己亥,63,0.5079365079365079,0.0011223168464131563,0.0002479820929235377,0.012666067684428482,-0.0156614520317508,ganzhi_day
己卯,68,0.6470588235294118,0.002446482520399687,0.001858402286196159,0.011482805767639227,-0.015628470235463054,ganzhi_day
己巳,66,0.45454545454545453,-0.000768926179301279,-0.0010368868747981375,0.014987541964147765,-0.026079734931701903,ganzhi_day
己未,66,0.48484848484848486,-0.0022638746128256144,-0.000794785659170516,0.011225313435571045,-0.02460296295876066,ganzhi_day
己酉,65,0.47692307692307695,0.001706368515137442,-0.00041068042193104226,0.013352474319159273,-0.01767589301003096,ganzhi_day
庚午,64,0.484375,-0.0007856879681937962,-0.0010748645911250465,0.014705598192122547,-0.023035219838725484,ganzhi_day
庚子,62,0.5806451612903226,0.004399051327265621,0.0007677114551513098,0.012152824001428775,-0.008154330993802455,ganzhi_day
庚寅,64,0.484375,0.0006423546668799657,-0.0009543005548875994,0.012586483239952368,-0.01738376914880224,ganzhi_day
庚戌,65,0.5538461538461539,0.0006075295422785655,0.0014401768824809924,0.015942407263556783,-0.020657878202778267,ganzhi_day
庚申,64,0.4375,-0.0006636817272399464,-0.0006329687471076095,0.01360254824597549,-0.02003357551733373,ganzhi_day
庚辰,70,0.5,-0.0014999785408885294,-6.199612230639584e-06,0.012909832678017041,-0.02078950502750205,ganzhi_day
戊午,68,0.5,0.0010927740981654225,-6.236177797158682e-05,0.012517003407495158,-0.012980911912677801,ganzhi_day
戊子,63,0.4444444444444444,-0.0017883930272455683,-0.0021272216634298236,0.01599002068693214,-0.025536098646349835,ganzhi_day
戊寅,67,0.4626865671641791,-0.0005831316627109628,-0.0008578610504724749,0.015177902090322616,-0.02493459248609505,ganzhi_day
戊戌,63,0.5238095238095238,0.003039477355444853,0.0015735107396550596,0.01088880589695087,-0.011331096111371886,ganzhi_day
戊申,63,0.49206349206349204,-0.0013587284336649343,-0.0001687822890659163,0.013984404268122912,-0.023820792270757774,ganzhi_day
戊辰,66,0.6363636363636364,0.0012249148097857009,0.001230298580612632,0.014166911769662156,-0.020286807142607444,ganzhi_day
甲午,65,0.46153846153846156,-1.1619373492834415e-05,-0.001512815809926904,0.014371077488780434,-0.023233463759877757,ganzhi_day
甲子,67,0.5223880597014925,0.0012648275603304204,0.0006966308203342209,0.010415823487544195,-0.015205269981306946,ganzhi_day
甲寅,68,0.45588235294117646,-0.0021680292137849565,-0.0014910064369353382,0.012509535655519858,-0.025185537490316955,ganzhi_day
甲戌,67,0.5074626865671642,0.00033920905068607175,9.680877890261286e-05,0.0100730061504114,-0.014257959276564602,ganzhi_day
甲申,62,0.5161290322580645,0.0015742962126646905,0.0001029069730985599,0.013580736675059421,-0.01758979979064761,ganzhi_day
甲辰,65,0.46153846153846156,-0.0040735918654992405,-0.0028357091651936006,0.017335899851342946,-0.02270509186491656,ganzhi_day
癸丑,67,0.5074626865671642,0.0003497401516912654,0.00012405038509055721,0.012075330461094816,-0.016330577864292338,ganzhi_day
癸亥,66,0.5606060606060606,0.0015742992294331118,0.0014515626286022432,0.011622570811193599,-0.016400949589434027,ganzhi_day
癸卯,64,0.5625,0.000556680014816029,0.001062653392901347,0.011848265308683534,-0.012391336419463893,ganzhi_day
癸巳,61,0.5245901639344263,0.001530843548655583,0.00019672450184127221,0.014144047087070174,-0.01529565097314467,ganzhi_day
癸未,63,0.6031746031746031,0.0024643694324042367,0.0013265299588547386,0.01252841110419723,-0.018204979892691854,ganzhi_day
癸酉,66,0.5757575757575758,0.0007472763223726728,0.0013372703878218317,0.018251301079614896,-0.018000509626244082,ganzhi_day
辛丑,66,0.4696969696969697,-0.0006513645722872776,-0.00019031112288897534,0.011422785615861637,-0.018050083434488995,ganzhi_day
辛亥,65,0.5230769230769231,-0.0008305800015155752,0.0008483038059614589,0.011827992640028567,-0.022929073394939346,ganzhi_day
辛卯,67,0.5223880597014925,0.0023124035058059993,0.0002969066394094,0.013364596423469351,-0.016773556282048217,ganzhi_day
辛巳,67,0.44776119402985076,-0.0011965403974158835,-0.0015449071125410718,0.012056386674126042,-0.024362904992167513,ganzhi_day
辛未,65,0.5538461538461539,0.0012524474734276828,0.0006125424415130976,0.01304571611442815,-0.01601195958931596,ganzhi_day
辛酉,65,0.49230769230769234,-0.0003268989626877947,-0.00024529175372134393,0.014034549676273024,-0.017851133667236497,ganzhi_day
