group_value,n,p_up,mean_ret,median_ret,std_ret,q05_ret,group_type
丁,389,0.5372750642673522,0.001252330962488242,0.0010323134958318825,0.016594764549546212,-0.021288468039507347,stem
丙,395,0.4759493670886076,-0.002227588899035886,-0.0005739913909323935,0.016789554544519567,-0.026950131125073006,stem
乙,396,0.47474747474747475,0.00021250143470101442,-0.0006821557350865093,0.01571848378160798,-0.021384481875713124,stem
壬,389,0.4961439588688946,0.00032758759762781166,-9.283410210403353e-05,0.014813965691280701,-0.022601882916914093,stem
己,392,0.5051020408163265,0.0003635477197406161,0.0002856432444168222,0.014552013354297202,-0.022203602525295733,stem
庚,389,0.5115681233933161,0.00015022089687870166,0.00020340929952911146,0.015703753805146145,-0.022883128963089062,stem
戊,390,0.5307692307692308,0.0005991953054985216,0.0007620625793405278,0.015880558087362624,-0.02508497148256038,stem
甲,394,0.467005076142132,-0.0007028424217775279,-0.0010600108945987285,0.015271106502827949,-0.025473988582044478,stem
癸,387,0.524547803617571,0.0011618492536676025,0.0017399027996076732,0.015417720845158987,-0.02076323724465733,stem
辛,395,0.4810126582278481,0.00019743261344704272,-0.0003472695203897702,0.014429020261595203,-0.021203474180928106,stem
丑,328,0.5152439024390244,3.112794666340116e-05,0.0005455243887403372,0.014457843502693319,-0.0216906135143867,branch
亥,324,0.5030864197530864,0.0012392640484192499,0.0001879580084876986,0.014033855862271604,-0.020168380353005073,branch
午,326,0.4754601226993865,-0.0012669829200635237,-0.0006738445585515174,0.016235027385985087,-0.022582972151546366,branch
卯,332,0.5210843373493976,0.0009520418970348903,0.0006208990050893259,0.014617704394821681,-0.019857568426701992,branch
子,325,0.5230769230769231,0.0010614087644829542,0.0004307972607049404,0.01641558431086168,-0.022480254760551287,branch
寅,330,0.5121212121212121,-0.0005277668200377679,0.000528049709217937,0.01606558695675313,-0.02669333123915408,branch
巳,327,0.4831804281345566,0.0001193928404147986,-0.0005230948573291538,0.016103574672597102,-0.023537419359808617,branch
戌,326,0.50920245398773,0.0005060837837407397,0.000298429479996698,0.013754533922428258,-0.020688566478405057,branch
未,323,0.5077399380804953,0.0006577921991529385,8.971338035412835e-05,0.015853654092332064,-0.02222500794576595,branch
申,317,0.4889589905362776,-0.0005420661803273648,-0.0004571051420855232,0.016135068514056897,-0.025019270459303165,branch
辰,333,0.46846846846846846,-0.0014659776457404158,-0.0005473863625362618,0.015569548668482433,-0.028108208096675913,branch
酉,325,0.49538461538461537,0.0008065286000545813,-8.241687234300521e-05,0.016935160349970186,-0.019762469682225968,branch
丁丑,65,0.46153846153846156,-0.0007828387149320753,-0.0005116848810708952,0.018653191220333848,-0.025404665832230198,ganzhi_day
丁亥,64,0.578125,0.004039654361544605,0.0022302433461646176,0.014034811268880057,-0.013586865590984099,ganzhi_day
丁卯,64,0.484375,-0.0018365106658644811,-0.0008312842114622798,0.014804622589875095,-0.020144295732615947,ganzhi_day
丁巳,67,0.5522388059701493,0.0012863288921837555,0.0028380710555386823,0.013988355147437308,-0.01988650965326033,ganzhi_day
丁未,65,0.5846153846153846,0.0011894767671236566,0.0031045394446571617,0.01862716516789943,-0.025949480801873315,ganzhi_day
丁酉,64,0.5625,0.003649063104931778,0.0025308503933350046,0.01847274773564651,-0.018721166612754612,ganzhi_day
丙午,66,0.4090909090909091,-0.005150365121429397,-0.003837395890314177,0.01892225176931588,-0.02579054842991904,ganzhi_day
丙子,67,0.43283582089552236,-0.004348676326722282,-0.0009342188256025175,0.01908707547559426,-0.03544648712816318,ganzhi_day
丙寅,64,0.4375,-0.004825999763540763,-0.0021906345587189846,0.01965445890715965,-0.04204898076619791,ganzhi_day
丙戌,67,0.5522388059701493,0.0012491356692761492,0.0007604453069858241,0.013254276335410377,-0.01887186444800809,ganzhi_day
丙申,65,0.5846153846153846,0.0016866906325813593,0.00290492795976105,0.014062695556826963,-0.022389744827701664,ganzhi_day
丙辰,66,0.4393939393939394,-0.0020162908985927805,-0.0014432280131302933,0.013616752937027838,-0.0253178255548642,ganzhi_day
乙丑,66,0.5303030303030303,0.0004245381762305768,0.0005319778840189304,0.015219281511581167,-0.021785353150128972,ganzhi_day
乙亥,66,0.45454545454545453,0.00045042964870627356,-0.0009141165579092392,0.013579302776774167,-0.025111194686267768,ganzhi_day
乙卯,69,0.463768115942029,0.0002853149837877086,-0.0006332798417734153,0.014762047132964426,-0.01884388290153729,ganzhi_day
乙巳,66,0.5,0.0015904765503443616,-0.00011037447832362712,0.016300217354241968,-0.015767025334288254,ganzhi_day
乙未,64,0.46875,0.00040047347656323694,-0.0021972000592348495,0.01828916127449959,-0.02125732139926819,ganzhi_day
乙酉,65,0.4307692307692308,-0.0019059353385901129,-0.0012621912043040417,0.016280355947474165,-0.022420770380215505,ganzhi_day
壬午,63,0.4126984126984127,-0.001248382391830481,-0.0031377357561770403,0.013164818089902169,-0.018470547856476727,ganzhi_day
壬子,66,0.5909090909090909,0.005248949103212377,0.004442147136734964,0.014518771085919683,-0.01948792837732402,ganzhi_day
壬寅,67,0.6268656716417911,0.0032100627850977772,0.0034685350116423486,0.013556495255862104,-0.019669947502916597,ganzhi_day
壬戌,64,0.484375,-0.00012016779310889715,-0.00020842581555841067,0.012490632668833618,-0.02194605394199021,ganzhi_day
壬申,63,0.4444444444444444,-0.003680131796929098,-0.0010552134080050735,0.018408994539074047,-0.037780165619516845,ganzhi_day
壬辰,66,0.4090909090909091,-0.0017558505952352482,-0.001781010244686465,0.014732724268794328,-0.025711539634950792,ganzhi_day
己丑,64,0.578125,0.0007047998563036156,0.002580314714133558,0.010249387786764241,-0.017549335456464372,ganzhi_day
己亥,63,0.49206349206349204,0.0014129042029138257,-0.0001302713741421213,0.015795777289440715,-0.019129539704568942,ganzhi_day
己卯,68,0.5588235294117647,0.0015291001671287215,0.0018234492349511466,0.014746692742190549,-0.02122068821555979,ganzhi_day
己巳,66,0.45454545454545453,-0.0004578052878443272,-0.0007634431089083016,0.017751140473213207,-0.025753116734432008,ganzhi_day
己未,66,0.4696969696969697,-0.0024449604048985872,-0.0013549360876324856,0.012908986720403914,-0.029004690331164373,ganzhi_day
己酉,65,0.47692307692307695,0.0014768349985784365,-0.00030828158355389323,0.014796843321587837,-0.02158187633012971,ganzhi_day
庚午,64,0.484375,-0.0011227973320395764,-0.001339046402108135,0.016240319970437674,-0.022306534920353272,ganzhi_day
庚子,62,0.5967741935483871,0.005327137598464245,0.0013337665239692154,0.015428552741155063,-0.0119805043145636,ganzhi_day
庚寅,64,0.5,0.0008649861204210896,-0.0002410470144619259,0.015444550760439362,-0.02277308415218485,ganzhi_day
庚戌,65,0.5076923076923077,-0.0014033529300136417,0.00034573426379713723,0.016986209188609897,-0.022690330122650225,ganzhi_day
庚申,64,0.5,-0.00033044171421441233,-0.00013426410655154042,0.014945515458891273,-0.02215847763370154,ganzhi_day
庚辰,70,0.4857142857142857,-0.0020425782073539432,-0.00040069176895307645,0.014583650020183267,-0.028219931434454892,ganzhi_day
戊午,68,0.5588235294117647,0.001514963584501692,0.001533689202783739,0.013964895769798459,-0.01940160692608755,ganzhi_day
戊子,63,0.47619047619047616,-0.0018405447527439372,-0.0008355832835286181,0.018123931903157302,-0.029127279894018154,ganzhi_day
戊寅,67,0.5074626865671642,-0.0002123704474400484,0.0006568227130057114,0.015985423865632883,-0.027733760233372217,ganzhi_day
戊戌,63,0.5873015873015873,0.003200197734804146,0.002039550301543125,0.01306087572584526,-0.01814739957446403,ganzhi_day
戊申,63,0.4444444444444444,-0.0007447369065685881,-0.0017639764730866814,0.016955279616857576,-0.029761453982490093,ganzhi_day
戊辰,66,0.6060606060606061,0.001608450797285144,0.0014021485289689162,0.01678924616017367,-0.02713541403111519,ganzhi_day
甲午,65,0.5076923076923077,-0.0003941959651789288,9.147730709435642e-05,0.017848627166339698,-0.02933495295041013,ganzhi_day
甲子,67,0.5223880597014925,0.0011277658187077743,0.0004477775954900842,0.012246697616903663,-0.0186814001722436,ganzhi_day
甲寅,68,0.4852941176470588,-0.0017868171187628258,-0.0012375109822433394,0.014558075854295105,-0.032099887717092296,ganzhi_day
甲戌,67,0.417910447761194,-0.00031959036454964066,-0.0020587567701068066,0.012442500053714188,-0.020537525140383626,ganzhi_day
甲申,62,0.46774193548387094,0.00029750206045989664,-0.00107598210951787,0.01604871681397504,-0.019895683956708175,ganzhi_day
甲辰,65,0.4,-0.0031136383929992618,-0.001408376473684858,0.017885732532129203,-0.031393940220633465,ganzhi_day
癸丑,67,0.4925373134328358,0.0005489623593600404,-0.00013307611640578365,0.014150098838271027,-0.02185328534114962,ganzhi_day
癸亥,66,0.5606060606060606,0.0017441240319391786,0.0027969327800231314,0.013061658830232095,-0.014974883452445048,ganzhi_day
癸卯,64,0.546875,0.0006742662667773187,0.0024903192113342465,0.014757253150718078,-0.019951190564620646,ganzhi_day
癸巳,61,0.47540983606557374,0.0004642322540040125,-0.0006906752303418306,0.017118294758606694,-0.02077982074624285,ganzhi_day
癸未,63,0.5238095238095238,0.0027572387302536774,0.0017574307883354567,0.014026640943733395,-0.01569838623393175,ganzhi_day
癸酉,66,0.5454545454545454,0.0007964507334890733,0.002607603346582499,0.019090173137014863,-0.018804279148231573,ganzhi_day
辛丑,66,0.5151515151515151,-0.0007395864475089651,0.0008473668708274262,0.013041982906903678,-0.018305281485386515,ganzhi_day
辛亥,65,0.4307692307692308,-0.0013979974639567478,-0.0011261314179332738,0.013489932621452221,-0.021909638437298894,ganzhi_day
辛卯,67,0.5522388059701493,0.003982029941956075,0.0019611873368416965,0.0138386288754179,-0.012108552480674306,ganzhi_day
辛巳,67,0.43283582089552236,-0.0022420454892525302,-0.0008244408890759614,0.015400908342385075,-0.02886345839240294,ganzhi_day
辛未,65,0.49230769230769234,0.0014951066873944523,-3.8290544931096626e-05,0.01459903028952258,-0.019674904368023393,ganzhi_day
辛酉,65,0.46153846153846156,6.011584603977318e-05,-0.0009681871963247435,0.015662455152394016,-0.01756435362045241,ganzhi_day
