trade_year,li_chun_date_yyyymmdd,li_chun_time_hm,market_close_hm,trade_date,li_chun_year,year_stem,year_element,is_before_li_chun_date,li_chun_after_close
2010,20100204,06:47,15:00,20100201,2009,己,土,1,0
2010,20100204,06:47,15:00,20100202,2009,己,土,1,0
2010,20100204,06:47,15:00,20100203,2009,己,土,1,0
2010,20100204,06:47,15:00,20100204,2010,庚,金,0,0
2010,20100204,06:47,15:00,20100205,2010,庚,金,0,0
2011,20110204,12:32,15:00,20110201,2010,庚,金,1,0
2012,20120204,18:22,15:00,20120201,2011,辛,金,1,1
2012,20120204,18:22,15:00,20120202,2011,辛,金,1,1
2012,20120204,18:22,15:00,20120203,2011,辛,金,1,1
2012,20120204,18:22,15:00,20120206,2012,壬,水,0,1
2012,20120204,18:22,15:00,20120207,2012,壬,水,0,1
2013,20130204,00:13,15:00,20130201,2012,壬,水,1,0
2013,20130204,00:13,15:00,20130204,2013,癸,水,0,0
2013,20130204,00:13,15:00,20130205,2013,癸,水,0,0
2013,20130204,00:13,15:00,20130206,2013,癸,水,0,0
2013,20130204,00:13,15:00,20130207,2013,癸,水,0,0
2014,20140204,06:03,15:00,20140207,2014,甲,木,0,0
2015,20150204,11:58,15:00,20150202,2014,甲,木,1,0
2015,20150204,11:58,15:00,20150203,2014,甲,木,1,0
2015,20150204,11:58,15:00,20150204,2015,乙,木,0,0
2015,20150204,11:58,15:00,20150205,2015,乙,木,0,0
2015,20150204,11:58,15:00,20150206,2015,乙,木,0,0
2016,20160204,17:46,15:00,20160201,2015,乙,木,1,1
2016,20160204,17:46,15:00,20160202,2015,乙,木,1,1
2016,20160204,17:46,15:00,20160203,2015,乙,木,1,1
2016,20160204,17:46,15:00,20160204,2015,乙,木,0,1
2016,20160204,17:46,15:00,20160205,2016,丙,火,0,1
2017,20170203,23:34,15:00,20170203,2016,丙,火,0,1
2017,20170203,23:34,15:00,20170206,2017,丁,火,0,1
2018,20180204,05:28,15:00,20180201,2017,丁,火,1,0
2018,20180204,05:28,15:00,20180202,2017,丁,火,1,0
2018,20180204,05:28,15:00,20180205,2018,戊,土,0,0
2018,20180204,05:28,15:00,20180206,2018,戊,土,0,0
2018,20180204,05:28,15:00,20180207,2018,戊,土,0,0
2019,20190204,11:14,15:00,20190201,2018,戊,土,1,0
2020,20200204,17:03,15:00,20200203,2019,己,土,1,1
2020,20200204,17:03,15:00,20200204,2019,己,土,0,1
2020,20200204,17:03,15:00,20200205,2020,庚,金,0,1
2020,20200204,17:03,15:00,20200206,2020,庚,金,0,1
2020,20200204,17:03,15:00,20200207,2020,庚,金,0,1
2021,20210203,22:58,15:00,20210201,2020,庚,金,1,1
2021,20210203,22:58,15:00,20210202,2020,庚,金,1,1
2021,20210203,22:58,15:00,20210203,2020,庚,金,0,1
2021,20210203,22:58,15:00,20210204,2021,辛,金,0,1
2021,20210203,22:58,15:00,20210205,2021,辛,金,0,1
2022,20220204,04:50,15:00,20220207,2022,壬,水,0,0
2023,20230204,10:42,15:00,20230201,2022,壬,水,1,0
2023,20230204,10:42,15:00,20230202,2022,壬,水,1,0
2023,20230204,10:42,15:00,20230203,2022,壬,水,1,0
2023,20230204,10:42,15:00,20230206,2023,癸,水,0,0
2023,20230204,10:42,15:00,20230207,2023,癸,水,0,0
2024,20240204,16:27,15:00,20240201,2023,癸,水,1,1
2024,20240204,16:27,15:00,20240202,2023,癸,水,1,1
2024,20240204,16:27,15:00,20240205,2024,甲,木,0,1
2024,20240204,16:27,15:00,20240206,2024,甲,木,0,1
2024,20240204,16:27,15:00,20240207,2024,甲,木,0,1
2025,20250203,22:10,15:00,20250205,2025,乙,木,0,1
2025,20250203,22:10,15:00,20250206,2025,乙,木,0,1
2026,20260204,04:02,15:00,20260202,2025,乙,木,1,0
2026,20260204,04:02,15:00,20260203,2025,乙,木,1,0
2026,20260204,04:02,15:00,20260204,2026,丙,火,0,0
2026,20260204,04:02,15:00,20260205,2026,丙,火,0,0
2026,20260204,04:02,15:00,20260206,2026,丙,火,0,0
