ts_code,group_value,effect_obs,boot_mean,boot_ci_low,boot_ci_high,p_boot_two_sided,n_boot,block_len,n_days
000300.SH,甲,-0.0006809066577865923,-0.0006650131497233969,-0.001951702323563605,0.00044717535231169356,0.242,1000,10,3916
000300.SH,乙,9.630771059892286e-05,6.685266947730247e-05,-0.0012721016754181442,0.0014580926614920567,0.944,1000,10,3916
000300.SH,丙,-0.0019698790277392648,-0.0019365160566188087,-0.0032746270554618465,-0.0005386591426995905,0.002,1000,10,3916
000300.SH,丁,0.0007726530051360979,0.000772470161588359,-0.0006147863084970396,0.00218076231305254,0.29,1000,10,3916
000300.SH,戊,0.00011042784751902078,0.00010329791485907181,-0.0012551291488781917,0.0014531452606263168,0.9,1000,10,3916
000300.SH,己,0.00019839604958330037,0.00017632156850593976,-0.0009658526974086057,0.0013619521139619363,0.75,1000,10,3916
000300.SH,庚,0.0002330248095511131,0.00023589964563721535,-0.0010818494627426439,0.0014614833947220892,0.706,1000,10,3916
000300.SH,辛,-7.577602555168113e-05,-7.499544357381113e-05,-0.0011785606619038361,0.001137952099551534,0.886,1000,10,3916
000300.SH,壬,0.00031156219829027963,0.00031781304733838545,-0.0008997672713175753,0.0015150595623402256,0.618,1000,10,3916
000300.SH,癸,0.001046327232050004,0.0010447154058257286,-0.0002154784726970174,0.0021600626605035606,0.106,1000,10,3916
