ts_code,group_value,effect_obs,boot_mean,boot_ci_low,boot_ci_high,p_boot_two_sided,n_boot,block_len,n_days
399001.SZ,甲,-0.000823063699180676,-0.000831077137529812,-0.0022279145356836716,0.0005350947330211103,0.252,1000,10,3916
399001.SZ,乙,8.72118185921411e-05,6.399216792144517e-05,-0.0014401648212824416,0.0015377517703840393,0.938,1000,10,3916
399001.SZ,丙,-0.0023387241957200174,-0.002313562715806483,-0.0038457041368116836,-0.000789976614891542,0.006,1000,10,3916
399001.SZ,丁,0.0011159459541838744,0.001120796676812311,-0.00041637781515483865,0.0027836614470488634,0.158,1000,10,3916
399001.SZ,戊,0.0004582200072371024,0.00041249296194784666,-0.0011341256826893846,0.0019302243168391707,0.576,1000,10,3916
399001.SZ,己,0.00021784090711382252,0.00019300351059656923,-0.0010968783923184778,0.0015394835629147017,0.796,1000,10,3916
399001.SZ,庚,1.2039145137946608e-05,1.760264031470739e-05,-0.001368470869150198,0.0014958001355142756,0.99,1000,10,3916
399001.SZ,辛,5.386805173801251e-05,7.196866905930358e-05,-0.0012307340176875158,0.0013391794034969889,0.898,1000,10,3916
399001.SZ,壬,0.0002099761520173268,0.00020853420863159891,-0.0011156538476281626,0.0015406667238292808,0.734,1000,10,3916
399001.SZ,癸,0.0010534961989808148,0.0011003979087679959,-0.0002884722115958988,0.002463644034271849,0.102,1000,10,3916
