ts_code,oos_year,stem,oos_effect,meta_sign,sign_match
000300.SH,2015,丁,0.0122393312645725,1.0,1.0
000300.SH,2015,癸,-0.0058549331466038,1.0,0.0
000300.SH,2016,丁,-0.0021114416038694,1.0,0.0
000300.SH,2016,癸,0.0046922251514901,1.0,1.0
000300.SH,2017,丁,0.0026993711360504,1.0,1.0
000300.SH,2017,癸,-0.0014996604895813,1.0,0.0
000300.SH,2018,丁,0.0028802303072974,1.0,1.0
000300.SH,2018,癸,0.001493205178297,1.0,1.0
000300.SH,2019,丁,0.0024033555604268,1.0,1.0
000300.SH,2019,癸,-0.0019156919524035,1.0,0.0
000300.SH,2020,丁,0.0039707443130927,1.0,1.0
000300.SH,2020,癸,0.0017563902180996,1.0,1.0
000300.SH,2021,丁,-0.0009191251407753,1.0,0.0
000300.SH,2021,癸,0.0032810199648478,1.0,1.0
000300.SH,2022,丁,-0.0045634846140258,1.0,0.0
000300.SH,2022,癸,0.0010467983968728,1.0,1.0
000300.SH,2023,丁,-0.0004673549171526,1.0,0.0
000300.SH,2023,癸,0.0015829868797249,1.0,1.0
000300.SH,2024,丁,0.0022932465821513,1.0,1.0
000300.SH,2024,癸,0.0013786614142133,1.0,1.0
000300.SH,2025,丁,0.0015681643869388,1.0,1.0
000300.SH,2025,癸,0.0039752366902457,1.0,1.0
000852.SH,2015,丁,0.0152238176262597,1.0,1.0
000852.SH,2015,癸,-0.0135932540483498,1.0,0.0
000852.SH,2016,丁,-0.0032249227346188,1.0,0.0
000852.SH,2016,癸,0.0057551344054003,1.0,1.0
000852.SH,2017,丁,0.0023427543459446,1.0,1.0
000852.SH,2017,癸,0.0006011054776847,1.0,1.0
000852.SH,2018,丁,0.0035238718943415,1.0,1.0
000852.SH,2018,癸,0.0013865814658379,1.0,1.0
000852.SH,2019,丁,0.0038567905548413,1.0,1.0
000852.SH,2019,癸,-0.0006118351963553,1.0,0.0
000852.SH,2020,丁,0.0029058562120594,1.0,1.0
000852.SH,2020,癸,0.0025806341895826,1.0,1.0
000852.SH,2021,丁,-0.0036272430420275,1.0,0.0
000852.SH,2021,癸,-0.0001101822166913,1.0,0.0
000852.SH,2022,丁,-0.0017963398354973,1.0,0.0
000852.SH,2022,癸,0.002414312300353,1.0,1.0
000852.SH,2023,丁,-0.0014044416737512,1.0,0.0
000852.SH,2023,癸,0.0003465475629473,1.0,1.0
000852.SH,2024,丁,0.0040035541194277,1.0,1.0
000852.SH,2024,癸,0.0035952311335578,1.0,1.0
000852.SH,2025,丁,0.0017375087892729,1.0,1.0
000852.SH,2025,癸,0.0044873377593553,1.0,1.0
000001.SH,2015,丁,0.0116421206734123,1.0,1.0
000001.SH,2015,癸,-0.0059308430180494,1.0,0.0
000001.SH,2016,丁,-0.0021968707468143,1.0,0.0
000001.SH,2016,癸,0.0047570894106832,1.0,1.0
000001.SH,2017,丁,0.0016514800923625,1.0,1.0
000001.SH,2017,癸,-0.0004694599419281,1.0,0.0
000001.SH,2018,丁,0.0027005119278851,1.0,1.0
000001.SH,2018,癸,0.0015721202695561,1.0,1.0
000001.SH,2019,丁,0.0022839485545916,1.0,1.0
000001.SH,2019,癸,-0.0007916850737668,1.0,0.0
000001.SH,2020,丁,0.0030585316040976,1.0,1.0
000001.SH,2020,癸,0.0018045523745264,1.0,1.0
000001.SH,2021,丁,-0.0020548155510833,1.0,0.0
000001.SH,2021,癸,0.002105515013389,1.0,1.0
000001.SH,2022,丁,-0.0039664637872572,1.0,0.0
000001.SH,2022,癸,0.0015098612587565,1.0,1.0
000001.SH,2023,丁,-0.0006470017181774,1.0,0.0
000001.SH,2023,癸,0.0012114893079747,1.0,1.0
000001.SH,2024,丁,0.0032822874843483,1.0,1.0
000001.SH,2024,癸,0.002556301489629,1.0,1.0
000001.SH,2025,丁,0.000844434343468,1.0,1.0
000001.SH,2025,癸,0.0036016089373415,1.0,1.0
399001.SZ,2015,丁,0.015211330527215,1.0,1.0
399001.SZ,2015,癸,-0.0096958004536597,1.0,0.0
399001.SZ,2016,丁,-0.003410351624827,1.0,0.0
399001.SZ,2016,癸,0.0057993885127489,1.0,1.0
399001.SZ,2017,丁,0.0034995567594545,1.0,1.0
399001.SZ,2017,癸,-0.00060266547313,1.0,0.0
399001.SZ,2018,丁,0.0031044130521994,1.0,1.0
399001.SZ,2018,癸,0.0010878117311888,1.0,1.0
399001.SZ,2019,丁,0.0033834513946516,1.0,1.0
399001.SZ,2019,癸,-0.0021519060237702,1.0,0.0
399001.SZ,2020,丁,0.0051378269102458,1.0,1.0
399001.SZ,2020,癸,0.0022647641729377,1.0,1.0
399001.SZ,2021,丁,-0.0008631821024177,1.0,0.0
399001.SZ,2021,癸,0.0021332224612634,1.0,1.0
399001.SZ,2022,丁,-0.0030456931701301,1.0,0.0
399001.SZ,2022,癸,0.0013438957222416,1.0,1.0
399001.SZ,2023,丁,-0.0009968790145624,1.0,0.0
399001.SZ,2023,癸,0.0009322838408301,1.0,1.0
399001.SZ,2024,丁,0.0024510491209813,1.0,1.0
399001.SZ,2024,癸,0.0015956586245292,1.0,1.0
399001.SZ,2025,丁,0.0022825499687044,1.0,1.0
399001.SZ,2025,癸,0.0044473821072474,1.0,1.0
