ts_code,maxlags,group_value,marginal_effect_vs_all,se_effect,z_effect,p_value_effect,q_value_effect
399001.SZ,0,甲,-0.0008231424895687714,0.0007263636204941589,-1.133237494753347,0.25711453242898563,0.6427863310724641
399001.SZ,0,乙,8.71501312536321e-05,0.0007397586629409181,0.11780886878318642,0.9062191022149134,0.9872860237373647
399001.SZ,0,丙,-0.0023395228254405468,0.0007964273025035459,-2.937522129246857,0.0033084655900586383,0.03308465590058638
399001.SZ,0,丁,0.001116195842916559,0.0007822420228298116,1.4269187928291653,0.15360330327919142,0.5232058241166205
399001.SZ,0,戊,0.0004585324466233557,0.0007610416951671778,0.6025063403689462,0.5468371440079236,0.9872860237373647
399001.SZ,0,己,0.00021785291781384873,0.0006978714544371405,0.3121676870843717,0.7549130878618466,0.9872860237373647
399001.SZ,0,庚,1.1911258825399754e-05,0.000747477194659188,0.015935280581811737,0.9872860237373646,0.9872860237373647
399001.SZ,0,辛,5.4036500728399915e-05,0.0006907775552453851,0.07822561737577646,0.9376485847323409,0.9872860237373647
399001.SZ,0,壬,0.00020990040346847608,0.0007126684629559978,0.29452741966138607,0.7683549142273597,0.9872860237373647
399001.SZ,0,癸,0.001053909223984391,0.0007446205302745112,1.4153641769665652,0.15696174723498615,0.5232058241166205
399001.SZ,1,甲,-0.0008231424895687714,0.0007252410853073744,-1.1349915307402973,0.25637886694509104,0.6409471673627276
399001.SZ,1,乙,8.71501312536321e-05,0.0007404302510676188,0.11770201329290796,0.9063037714944404,0.987250819261931
399001.SZ,1,丙,-0.0023395228254405468,0.0008020035436140792,-2.917097865799849,0.003533048994292048,0.03533048994292048
399001.SZ,1,丁,0.001116195842916559,0.0007813910474449132,1.4284727814151839,0.1531558235192353,0.5105194117307843
399001.SZ,1,戊,0.0004585324466233557,0.000759239359822374,0.6039366119409698,0.5458857862965063,0.987250819261931
399001.SZ,1,己,0.00021785291781384873,0.0006952843791563413,0.31332922807526836,0.7540305465140731,0.987250819261931
399001.SZ,1,庚,1.1911258825399754e-05,0.0007454130013864447,0.01597940846650797,0.987250819261931,0.987250819261931
399001.SZ,1,辛,5.4036500728399915e-05,0.0006899032938502294,0.07832474668562828,0.9375697329196022,0.987250819261931
399001.SZ,1,壬,0.00020990040346847608,0.000706247531286141,0.29720514999355596,0.7663098902992251,0.987250819261931
399001.SZ,1,癸,0.001053909223984391,0.0007355905271677127,1.4327389832524344,0.1519324444270978,0.5105194117307843
399001.SZ,3,甲,-0.0008231424895687714,0.000726378165959277,-1.1332148020744879,0.25712405962313023,0.6428101490578255
399001.SZ,3,乙,8.71501312536321e-05,0.0007486691423438559,0.11640673606606977,0.9073301970806444,0.987271911215619
399001.SZ,3,丙,-0.0023395228254405468,0.0008052942564055274,-2.9051775879827186,0.003670447803855971,0.03670447803855971
399001.SZ,3,丁,0.001116195842916559,0.0007879191450487559,1.416637544512882,0.15658892572565272,0.5219630857521758
399001.SZ,3,戊,0.0004585324466233557,0.0007531129623024702,0.6088494947975635,0.5426242033197086,0.987271911215619
399001.SZ,3,己,0.00021785291781384873,0.0006937191435173586,0.31403619151876183,0.7534935513089773,0.987271911215619
399001.SZ,3,庚,1.1911258825399754e-05,0.0007466483442497219,0.015952970253176997,0.9872719112156191,0.987271911215619
399001.SZ,3,辛,5.4036500728399915e-05,0.0006870876972899361,0.07864571137212131,0.937314427696262,0.987271911215619
399001.SZ,3,壬,0.00020990040346847608,0.0007034790985456528,0.29837475470474767,0.7654171548526273,0.987271911215619
399001.SZ,3,癸,0.001053909223984391,0.0007274835970742981,1.4487051367520454,0.1474199453425513,0.5219630857521758
399001.SZ,5,甲,-0.0008231424895687714,0.0007299348422473255,-1.127693106188051,0.2594495500849877,0.6486238752124693
