group_value,year_element,k_used,mean_effect,mean_effect_bp,sign_consistent_count,n_median,n_min,min_sign_required,pass_direction,abs_mean_bp
午,土,4,-0.0048138251330943,-48.138251330943,4,44.0,44,3,True,48.138251330943
亥,木,4,0.004753104127589275,47.531041275892754,4,80.0,80,3,True,47.531041275892754
辰,木,4,-0.004752636431384525,-47.52636431384525,4,82.0,82,3,True,47.52636431384525
寅,木,4,-0.0038181459898951756,-38.18145989895176,4,83.0,83,3,True,38.18145989895176
亥,金,4,-0.0036822625437247,-36.822625437247005,4,78.0,78,3,True,36.822625437247005
子,木,4,0.0035179271697377,35.179271697377004,4,83.0,83,3,True,35.179271697377004
卯,木,4,0.0031586260978323,31.586260978322997,4,81.0,81,3,True,31.586260978322997
子,土,4,-0.0028433098634216,-28.433098634215998,4,44.0,44,3,True,28.433098634215998
未,木,4,0.002359616293690925,23.59616293690925,4,81.0,81,3,True,23.59616293690925
亥,火,4,0.002307384977400575,23.07384977400575,4,42.0,42,3,True,23.07384977400575
子,火,4,-0.002292319338418625,-22.92319338418625,4,40.0,40,3,True,22.92319338418625
申,水,4,-0.002243614931758125,-22.43614931758125,4,78.0,78,3,True,22.43614931758125
未,火,4,0.00209979943175765,20.9979943175765,4,41.0,41,3,True,20.9979943175765
亥,土,4,0.002086382132385025,20.863821323850253,4,42.0,42,3,True,20.863821323850253
酉,木,4,0.0020439496248899,20.439496248899,4,83.0,83,3,True,20.439496248899
子,水,4,0.0019341500342030251,19.34150034203025,4,80.0,80,3,True,19.34150034203025
巳,水,4,-0.0018430974250073498,-18.430974250073497,4,80.0,80,3,True,18.430974250073497
辰,金,4,-0.00184042029811375,-18.4042029811375,4,84.0,84,3,True,18.4042029811375
丑,水,4,-0.0017784592044141501,-17.7845920441415,4,82.0,82,3,True,17.7845920441415
戌,木,4,0.0017196722576859251,17.19672257685925,4,78.0,78,3,True,17.19672257685925
子,金,4,0.0016498617406165248,16.49861740616525,4,78.0,78,3,True,16.49861740616525
酉,火,4,-0.0015750991411636,-15.750991411636,4,42.0,42,3,True,15.750991411636
巳,金,4,0.00152401486809605,15.2401486809605,4,82.0,82,3,True,15.2401486809605
辰,火,4,0.00150664995889775,15.0664995889775,4,42.0,42,3,True,15.0664995889775
戌,金,4,0.00148954316118705,14.8954316118705,4,83.0,83,3,True,14.8954316118705
丑,木,4,0.001483881056570225,14.838810565702248,4,83.0,83,3,True,14.838810565702248
丑,土,4,0.001443090372479275,14.430903724792751,4,44.0,44,3,True,14.430903724792751
卯,金,4,0.0014046523260578501,14.046523260578502,4,85.0,85,3,True,14.046523260578502
酉,金,4,0.0013676539994374,13.676539994374,4,81.0,81,3,True,13.676539994374
丑,金,4,-0.00131444897413735,-13.1444897413735,4,79.0,79,3,True,13.1444897413735
巳,火,4,-0.0012723846982477414,-12.723846982477415,4,42.0,42,3,True,12.723846982477415
卯,火,4,-0.001268824534279,-12.68824534279,4,44.0,44,3,True,12.68824534279
寅,土,4,-0.001258904446476475,-12.58904446476475,4,42.0,42,3,True,12.58904446476475
申,金,4,-0.001033127462476375,-10.331274624763749,4,78.0,78,3,True,10.331274624763749
寅,火,4,0.000986623211413325,9.86623211413325,3,42.0,42,3,True,9.86623211413325
午,木,4,-0.0009030242789449,-9.030242789449,4,78.0,78,3,True,9.030242789449
未,金,4,-0.0009026628058439749,-9.02662805843975,4,78.0,78,3,True,9.02662805843975
申,火,4,0.0008313963743015686,8.313963743015686,4,38.0,38,3,True,8.313963743015686
未,水,4,-0.0008262410836911249,-8.262410836911249,4,81.0,81,3,True,8.262410836911249
午,火,4,-0.000776514699191825,-7.765146991918249,4,42.0,42,3,True,7.765146991918249
酉,土,4,0.0007451165474291999,7.451165474291999,4,40.0,40,3,True,7.451165474291999
丑,火,4,0.0007008120628627533,7.008120628627533,4,40.0,40,3,True,7.008120628627533
午,水,4,-0.0006703556711127501,-6.703556711127501,4,83.0,83,3,True,6.703556711127501
酉,水,4,-0.000613855216727275,-6.13855216727275,4,79.0,79,3,True,6.13855216727275
戌,土,4,-0.0005962479638514713,-5.962479638514713,3,40.0,40,3,True,5.962479638514713
寅,金,4,0.0005727407416965999,5.727407416965999,4,83.0,83,3,True,5.727407416965999
卯,水,4,-0.00054196932754425,-5.4196932754425,4,81.0,81,3,True,5.4196932754425
辰,水,4,-0.000489238099222425,-4.89238099222425,3,83.0,83,3,True,4.89238099222425
巳,木,4,0.00048109300728929334,4.810930072892933,4,81.0,81,3,True,4.810930072892933
寅,水,4,0.00044154580091942497,4.41545800919425,3,80.0,80,3,True,4.41545800919425
午,金,4,-0.00041134280855662495,-4.11342808556625,3,79.0,79,3,True,4.11342808556625
申,土,4,0.000282862932977,2.82862932977,3,41.0,41,3,True,2.82862932977
亥,水,4,0.00026144958765109475,2.6144958765109476,4,82.0,82,3,True,2.6144958765109476
戌,水,4,-0.00022371293765632004,-2.2371293765632005,3,84.0,84,3,True,2.2371293765632005
戌,火,4,0.00021978527601355003,2.1978527601355005,3,41.0,41,3,True,2.1978527601355005
辰,土,4,-0.00021298602818861667,-2.1298602818861667,4,42.0,42,3,True,2.1298602818861667
巳,土,4,8.606751556118592e-05,0.8606751556118593,3,42.0,42,3,True,0.8606751556118593
申,木,4,-5.248425563449997e-05,-0.5248425563449998,3,82.0,82,3,True,0.5248425563449998
