group_value,year_element,k_used,mean_effect,mean_effect_bp,sign_consistent_count,n_median,n_min,min_sign_required,pass_direction,abs_mean_bp
丙子,土,4,-0.020459644581729775,-204.59644581729773,4,9.0,9,3,True,204.59644581729773
壬申,土,4,-0.01594674875749455,-159.4674875749455,4,6.0,6,3,True,159.4674875749455
甲辰,木,4,-0.012611317626442051,-126.11317626442052,4,14.0,14,3,True,126.11317626442052
丁酉,木,4,0.0125864778304693,125.86477830469299,4,17.0,17,3,True,125.86477830469299
壬午,土,4,-0.01183425716954455,-118.3425716954455,4,9.0,9,3,True,118.3425716954455
庚子,木,4,0.0108466681503414,108.466681503414,4,16.0,16,3,True,108.466681503414
丙午,木,4,-0.009403230563535848,-94.03230563535848,4,15.0,15,3,True,94.03230563535848
己亥,金,4,-0.009350543465850226,-93.50543465850225,4,16.0,16,3,True,93.50543465850225
戊申,水,4,-0.009103039610673774,-91.03039610673774,4,15.0,15,3,True,91.03039610673774
丙寅,木,4,-0.0085700577260421,-85.700577260421,4,16.0,16,3,True,85.700577260421
丁亥,木,4,0.008497213261123826,84.97213261123825,4,18.0,18,3,True,84.97213261123825
壬寅,土,4,0.0083500624171979,83.500624171979,4,9.0,9,3,True,83.500624171979
丁丑,火,4,-0.008336019332896625,-83.36019332896625,4,9.0,9,3,True,83.36019332896625
辛卯,木,4,0.008309758670798875,83.09758670798875,4,17.0,17,3,True,83.09758670798875
庚午,土,4,-0.008218059266398275,-82.18059266398275,4,9.0,9,3,True,82.18059266398275
辛酉,火,4,-0.008212859190292925,-82.12859190292924,4,6.0,6,3,True,82.12859190292924
辛亥,金,4,-0.0080317318910893,-80.317318910893,4,16.0,16,3,True,80.317318910893
壬子,金,4,0.00801455060366895,80.1455060366895,4,16.0,16,3,True,80.1455060366895
辛巳,火,4,-0.007811499099719025,-78.11499099719025,4,9.0,9,3,True,78.11499099719025
己卯,金,4,0.007810972310809675,78.10972310809674,4,17.0,17,3,True,78.10972310809674
甲午,土,4,-0.007774882278225849,-77.74882278225849,4,8.0,8,3,True,77.74882278225849
甲申,土,4,0.007303950166389175,73.03950166389176,4,9.0,9,3,True,73.03950166389176
丁亥,土,4,0.0072354365259155,72.354365259155,4,8.0,8,3,True,72.354365259155
乙酉,木,4,-0.0071099278511436255,-71.09927851143625,4,16.0,16,3,True,71.09927851143625
己巳,木,4,-0.006981240171091625,-69.81240171091625,4,17.0,17,3,True,69.81240171091625
丙午,水,4,-0.006763530751298224,-67.63530751298224,4,16.0,16,3,True,67.63530751298224
癸卯,土,4,-0.006762817373208101,-67.62817373208101,4,8.0,8,3,True,67.62817373208101
丁未,土,4,0.006736026685057975,67.36026685057975,4,8.0,8,3,True,67.36026685057975
己未,土,4,-0.0064680514863382,-64.680514863382,4,8.0,8,3,True,64.680514863382
乙亥,木,4,0.00644399338704325,64.4399338704325,4,16.0,16,3,True,64.4399338704325
癸酉,金,4,0.006364834571671675,63.64834571671675,4,17.0,17,3,True,63.64834571671675
乙巳,火,4,-0.00634900245498865,-63.490024549886506,4,9.0,9,3,True,63.490024549886506
戊辰,土,4,0.00627510020320835,62.7510020320835,4,8.0,8,3,True,62.7510020320835
癸丑,土,4,0.006258673087504575,62.58673087504575,4,8.0,8,3,True,62.58673087504575
庚辰,木,4,-0.006231701074113876,-62.31701074113876,4,18.0,18,3,True,62.31701074113876
己亥,土,4,0.0060971201722944245,60.971201722944244,4,8.0,8,3,True,60.971201722944244
乙巳,木,4,0.006068353902819625,60.68353902819625,4,14.0,14,3,True,60.68353902819625
戊申,土,4,0.006051232638243075,60.51232638243075,4,8.0,8,3,True,60.51232638243075
丁丑,水,4,-0.006021401705809925,-60.21401705809925,4,16.0,16,3,True,60.21401705809925
乙未,金,4,-0.006002070672525525,-60.020706725255245,4,14.0,14,3,True,60.020706725255245
乙未,木,4,0.00595040999037275,59.5040999037275,4,17.0,17,3,True,59.5040999037275
丙戌,土,4,0.005919598110472275,59.195981104722755,4,8.0,8,3,True,59.195981104722755
癸未,木,4,0.005832708681826125,58.32708681826125,4,16.0,16,3,True,58.32708681826125
甲子,木,4,0.0056394668302887,56.394668302887,4,16.0,16,3,True,56.394668302887
己酉,木,4,0.0056228556520853505,56.2285565208535,4,16.0,16,3,True,56.2285565208535
丁亥,火,4,0.00561269268073665,56.1269268073665,4,9.0,9,3,True,56.1269268073665
辛丑,金,4,-0.0055658706173071755,-55.65870617307176,4,16.0,16,3,True,55.65870617307176
壬申,木,4,-0.005511248993212275,-55.112489932122756,4,16.0,16,3,True,55.112489932122756
甲戌,土,4,-0.005290948620352825,-52.909486203528246,4,7.0,7,3,True,52.909486203528246
戊子,火,4,-0.00524588298709775,-52.4588298709775,4,8.0,8,3,True,52.4588298709775
戊寅,木,4,-0.005244589606398575,-52.44589606398575,4,15.0,15,3,True,52.44589606398575
戊午,土,4,0.005211436408814025,52.11436408814025,4,9.0,9,3,True,52.11436408814025
丙寅,土,4,-0.00517515727256235,-51.7515727256235,4,7.0,7,3,True,51.7515727256235
庚寅,金,4,0.0051722361395482,51.722361395482,4,14.0,14,3,True,51.722361395482
庚子,金,4,0.005170112393025049,51.701123930250496,4,15.0,15,3,True,51.701123930250496
壬寅,火,4,0.005127822114096349,51.278221140963495,4,9.0,9,3,True,51.278221140963495
庚戌,火,4,-0.005054632725041825,-50.54632725041825,4,9.0,9,3,True,50.54632725041825
戊辰,水,4,0.005036745130639725,50.36745130639725,4,16.0,16,3,True,50.36745130639725
甲寅,土,4,-0.0049162579229245,-49.162579229245004,4,9.0,9,3,True,49.162579229245004
丙戌,木,4,0.004914704783773425,49.147047837734256,4,17.0,17,3,True,49.147047837734256
戊子,木,4,-0.00484505261722295,-48.450526172229495,4,17.0,17,3,True,48.450526172229495
乙丑,土,4,-0.00473880736365735,-47.3880736365735,4,9.0,9,3,True,47.3880736365735
癸酉,木,4,-0.004653294628434325,-46.532946284343254,4,17.0,17,3,True,46.532946284343254
庚寅,水,4,0.0046492765507269,46.492765507269,4,15.0,15,3,True,46.492765507269
辛未,木,4,0.004647424421316,46.47424421316,4,14.0,14,3,True,46.47424421316
戊戌,金,4,0.004639598978346175,46.39598978346175,4,16.0,16,3,True,46.39598978346175
癸卯,木,4,0.004585971249856,45.85971249856,4,14.0,14,3,True,45.85971249856
壬申,火,4,-0.004582851259948975,-45.828512599489756,4,8.0,8,3,True,45.828512599489756
甲子,土,4,0.0045718906413807995,45.71890641380799,4,10.0,10,3,True,45.71890641380799
辛卯,金,4,0.00439705013035425,43.970501303542505,4,16.0,16,3,True,43.970501303542505
丙子,火,4,-0.004392226192932376,-43.92226192932376,4,9.0,9,3,True,43.92226192932376
壬子,水,4,0.0043788692516928,43.788692516928,4,15.0,15,3,True,43.788692516928
丁丑,木,4,0.004378403898713501,43.784038987135006,4,15.0,15,3,True,43.784038987135006
己巳,火,4,0.004358767261735175,43.58767261735175,4,9.0,9,3,True,43.58767261735175
丁卯,水,4,-0.0043450633287594,-43.450633287593995,4,15.0,15,3,True,43.450633287593995
丁未,木,4,-0.00432944396570575,-43.2944396570575,4,16.0,16,3,True,43.2944396570575
庚午,火,4,-0.00429887397840835,-42.9887397840835,4,9.0,9,3,True,42.9887397840835
丙子,金,4,-0.004272972920473425,-42.72972920473425,4,15.0,15,3,True,42.72972920473425
己未,水,4,-0.0042367759299632,-42.367759299632,4,16.0,16,3,True,42.367759299632
己亥,水,4,0.0041752193675121,41.752193675121,4,17.0,17,3,True,41.752193675121
丙申,火,4,0.004172702700515675,41.727027005156756,4,8.0,8,3,True,41.727027005156756
丁未,火,4,0.004165024527070925,41.65024527070925,4,8.0,8,3,True,41.65024527070925
庚寅,木,4,-0.0041328365017766,-41.328365017766004,4,18.0,18,3,True,41.328365017766004
丁巳,木,4,0.0041284214609939255,41.284214609939255,4,16.0,16,3,True,41.284214609939255
丁酉,土,4,0.0040951784047478,40.951784047478,4,7.0,7,3,True,40.951784047478
庚戌,土,4,-0.0040759047930159,-40.75904793015901,4,9.0,9,3,True,40.75904793015901
壬子,木,4,0.004036855113190075,40.36855113190075,4,17.0,17,3,True,40.36855113190075
乙卯,木,4,0.0040311712105186494,40.311712105186494,4,18.0,18,3,True,40.311712105186494
癸丑,火,4,0.004031087948360875,40.31087948360875,4,8.0,8,3,True,40.31087948360875
戊戌,火,4,0.004004960596759625,40.04960596759625,4,9.0,9,3,True,40.04960596759625
戊辰,木,4,-0.003996233237055275,-39.96233237055275,4,17.0,17,3,True,39.96233237055275
癸未,火,4,0.0039734430772310255,39.734430772310255,4,9.0,9,3,True,39.734430772310255
戊午,火,4,-0.003939471735045525,-39.39471735045525,4,8.0,8,3,True,39.39471735045525
丁卯,金,4,-0.003930397533147925,-39.30397533147924,4,18.0,18,3,True,39.30397533147924
己亥,木,4,0.0039036619734606004,39.036619734606006,4,14.0,14,3,True,39.036619734606006
丁巳,水,4,-0.00387889051689385,-38.7889051689385,4,16.0,16,3,True,38.7889051689385
戊寅,土,4,-0.003856838540031525,-38.56838540031525,4,9.0,9,3,True,38.56838540031525
乙丑,火,4,0.00379370921536645,37.9370921536645,4,8.0,8,3,True,37.9370921536645
壬午,火,4,0.0037848117675480745,37.848117675480744,4,8.0,8,3,True,37.848117675480744
丙午,金,4,-0.0037700874221192,-37.700874221192,4,18.0,18,3,True,37.700874221192
乙卯,土,4,0.0037312442435133253,37.31244243513325,4,9.0,9,3,True,37.31244243513325
丁巳,火,4,0.0036913524049711245,36.91352404971124,4,8.0,8,3,True,36.91352404971124
甲子,火,4,-0.0036717424883743995,-36.717424883743995,4,7.0,7,3,True,36.717424883743995
己卯,土,4,0.003613398710481025,36.13398710481025,4,8.0,8,3,True,36.13398710481025
乙丑,水,4,0.003571658753079825,35.71658753079825,4,17.0,17,3,True,35.71658753079825
癸亥,火,4,0.0034928395347946246,34.92839534794624,4,7.0,7,3,True,34.92839534794624
辛酉,木,4,0.00344212313707895,34.4212313707895,4,17.0,17,3,True,34.4212313707895
乙巳,金,4,0.003407180661968325,34.07180661968325,4,17.0,17,3,True,34.07180661968325
辛丑,土,4,0.0033893778838197,33.893778838197,4,8.0,8,3,True,33.893778838197
癸巳,金,4,0.0033831661136738997,33.831661136738994,4,15.0,15,3,True,33.831661136738994
壬辰,木,4,-0.003364662141117,-33.64662141117,4,16.0,16,3,True,33.64662141117
庚辰,火,4,0.0033635228598566003,33.635228598566,4,9.0,9,3,True,33.635228598566
戊戌,木,4,0.003362941626088175,33.629416260881754,4,14.0,14,3,True,33.629416260881754
甲申,金,4,-0.003327401810526125,-33.27401810526125,4,14.0,14,3,True,33.27401810526125
甲申,火,4,0.00331877239011325,33.1877239011325,4,8.0,8,3,True,33.1877239011325
癸卯,水,4,0.003310798254054175,33.10798254054175,4,16.0,16,3,True,33.10798254054175
丙寅,水,4,-0.00325454401877615,-32.5454401877615,4,16.0,16,3,True,32.5454401877615
丁丑,土,4,0.0032087098834380004,32.08709883438,4,10.0,10,3,True,32.08709883438
己巳,金,4,0.00319172697683405,31.9172697683405,4,16.0,16,3,True,31.9172697683405
壬子,火,4,0.0031551604514638747,31.551604514638747,4,9.0,9,3,True,31.551604514638747
壬戌,火,4,0.0031479930413421003,31.479930413421002,3,6.0,6,3,True,31.479930413421002
癸丑,水,4,-0.003115914853715225,-31.159148537152248,4,17.0,17,3,True,31.159148537152248
