ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,jiazi_idx,hac_maxlags,formula
000300.SH,ganzhi_day,丁丑,木,15,0.005411466590995089,0.00016080668062183688,0.005250659910373252,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁丑,火,9,-0.006317895646327287,0.00016080668062183688,-0.006478702326949124,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁丑,土,10,0.004880429667640058,0.00016080668062183688,0.004719622987018221,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁丑,金,15,0.001440114395258326,0.00016080668062183688,0.0012793077146364892,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁丑,水,16,-0.005629970478093918,0.00016080668062183688,-0.005790777158715755,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁亥,木,18,0.008754030173691772,0.00016080668062183688,0.008593223493069936,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁亥,火,9,0.0064870986499926935,0.00016080668062183688,0.0063262919693708565,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁亥,土,8,0.005259665054960137,0.00016080668062183688,0.0050988583743383,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁亥,金,14,-0.0011997055500269544,0.00016080668062183688,-0.0013605122306487912,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁亥,水,15,0.0013932363650474497,0.00016080668062183688,0.0012324296844256127,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁卯,木,15,-0.00029958084382800766,0.00016080668062183688,-0.00046038752444984454,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁卯,火,9,-0.0013676239076889879,0.00016080668062183688,-0.0015284305883108249,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁卯,土,7,-0.0018551922405777735,0.00016080668062183688,-0.0020159989211996103,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁卯,金,18,-0.004019883695494046,0.00016080668062183688,-0.004180690376115883,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁卯,水,15,-0.004356091739090538,0.00016080668062183688,-0.004516898419712375,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁巳,木,16,0.0021414786189322007,0.00016080668062183688,0.0019806719383103637,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁巳,火,8,0.002008650599122764,0.00016080668062183688,0.0018478439185009268,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁巳,土,10,-0.0024030389321959655,0.00016080668062183688,-0.0025638456128178025,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁巳,金,17,0.0007341498513878535,0.00016080668062183688,0.0005733431707660166,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁巳,水,16,-0.004465513979906811,0.00016080668062183688,-0.004626320660528648,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁未,木,16,-0.0022525524479907553,0.00016080668062183688,-0.0024133591286125923,43,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁未,火,8,0.007035636022922166,0.00016080668062183688,0.006874829342300329,43,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁未,土,8,0.004826380183052493,0.00016080668062183688,0.004665573502430656,43,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁未,金,16,0.0017823234468923876,0.00016080668062183688,0.0016215167662705508,43,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁未,水,17,0.0001646991497653932,0.00016080668062183688,3.892469143556329e-06,43,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁酉,木,17,0.01044857869894168,0.00016080668062183688,0.010287772018319844,33,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁酉,火,9,-0.00019538196908260418,0.00016080668062183688,-0.0003561886497044411,33,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁酉,土,7,0.005343008483812978,0.00016080668062183688,0.005182201803191141,33,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁酉,金,15,0.0009081229017995096,0.00016080668062183688,0.0007473162211776727,33,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丁酉,水,16,-0.0010870303408900713,0.00016080668062183688,-0.001247837021511908,33,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙午,木,15,-0.009616211165879249,0.00016080668062183688,-0.009777017846501085,42,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙午,火,8,-0.0001395883312442597,0.00016080668062183688,-0.0003003950118660966,42,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙午,土,9,0.00020798014483801216,0.00016080668062183688,4.717346421617528e-05,42,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙午,金,18,-0.0035404053719874573,0.00016080668062183688,-0.0037012120526092943,42,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙午,水,16,-0.007041503456423186,0.00016080668062183688,-0.007202310137045023,42,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙子,木,17,0.0014602124094017237,0.00016080668062183688,0.0012994057287798867,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙子,火,9,-0.0032022430818126448,0.00016080668062183688,-0.0033630497624344818,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙子,土,9,-0.017633253211085952,0.00016080668062183688,-0.01779405989170779,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙子,金,15,-0.004557872140764192,0.00016080668062183688,-0.004718678821386029,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙子,水,17,-0.000620902103616455,0.00016080668062183688,-0.0007817087842382919,12,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙寅,木,16,-0.00855443124457771,0.00016080668062183688,-0.008715237925199546,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙寅,火,8,0.0020345455653735327,0.00016080668062183688,0.0018737388847516957,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙寅,土,7,-0.0012508859470042467,0.00016080668062183688,-0.0014116926276260835,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙寅,金,17,-0.0027342966134955315,0.00016080668062183688,-0.0028951032941173685,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
000300.SH,ganzhi_day,丙寅,水,16,-0.0030486463864758334,0.00016080668062183688,-0.0032094530670976704,2,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
