ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,hac_maxlags,formula
000852.SH,branch,子,木,83,0.005238425876851219,0.00030398678501701993,0.004934439091834199,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,子,火,40,-0.0039339804810192575,0.00030398678501701993,-0.004237967266036278,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,子,土,44,-0.0035576906684906154,0.00030398678501701993,-0.003861677453507635,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,子,金,78,0.002995165338983453,0.00030398678501701993,0.0026911785539664333,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,子,水,80,0.002956516882391631,0.00030398678501701993,0.002652530097374611,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,丑,木,83,0.0023318353513376937,0.00030398678501701993,0.002027848566320674,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,丑,火,40,0.00034271375469493325,0.00030398678501701993,3.872696967791332e-05,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,丑,土,44,0.0018369051022645861,0.00030398678501701993,0.0015329183172475662,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,丑,金,79,-0.00174432588309755,0.00030398678501701993,-0.00204831266811457,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,丑,水,82,-0.0008471913629193574,0.00030398678501701993,-0.0011511781479363772,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,寅,木,83,-0.002117002001580385,0.00030398678501701993,-0.002420988786597405,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,寅,火,42,0.00017522593156076496,0.00030398678501701993,-0.00012876085345625498,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,寅,土,42,-0.0015964358415289964,0.00030398678501701993,-0.0019004226265460164,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,寅,金,83,0.001136796739687709,0.00030398678501701993,0.000832809954670689,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,寅,水,80,-1.93269464718653e-05,0.00030398678501701993,-0.00032331373148888524,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,卯,木,81,0.0028400678412898632,0.00030398678501701993,0.002536081056272843,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,卯,火,44,-0.0013543572674358994,0.00030398678501701993,-0.0016583440524529194,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,卯,土,41,0.0006309738838108098,0.00030398678501701993,0.0003269870987937898,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,卯,金,85,0.002016448453140989,0.00030398678501701993,0.0017124616681239689,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,卯,水,81,3.171283454181166e-05,0.00030398678501701993,-0.00027227395047520826,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
000852.SH,branch,辰,木,82,-0.004353483412019759,0.00030398678501701993,-0.004657470197036779,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
