ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,hac_maxlags,formula
399001.SZ,branch,子,木,83,0.003542834739293431,0.0001287476267560583,0.0034140871125373728,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,子,火,40,-0.0028814402208347917,0.0001287476267560583,-0.00301018784759085,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,子,土,44,-0.0023632523766075196,0.0001287476267560583,-0.002492000003363578,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,子,金,78,0.0010869893023178095,0.0001287476267560583,0.0009582416755617512,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,子,水,80,0.0023534058377100314,0.0001287476267560583,0.002224658210953973,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,丑,木,83,0.0015833855490122626,0.0001287476267560583,0.0014546379222562043,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,丑,火,40,0.0008754944171038467,0.0001287476267560583,0.0007467467903477884,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,丑,土,44,0.0019933163712456932,0.0001287476267560583,0.001864568744489635,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,丑,金,79,-0.0010444051596879393,0.0001287476267560583,-0.0011731527864439976,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,丑,水,82,-0.002004145376370715,0.0001287476267560583,-0.0021328930031267734,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,寅,木,83,-0.0033206603484618427,0.0001287476267560583,-0.003449407975217901,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,寅,火,42,0.0010320847657873554,0.0001287476267560583,0.000903337139031297,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,寅,土,42,-0.0016312285836932085,0.0001287476267560583,-0.0017599762104492669,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,寅,金,83,0.0009755516897026675,0.0001287476267560583,0.0008468040629466092,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,寅,水,80,0.00047841910372901464,0.0001287476267560583,0.0003496714769729563,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,卯,木,81,0.003514345422634856,0.0001287476267560583,0.0033855977958787975,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,卯,火,44,-0.0009686950364978401,0.0001287476267560583,-0.0010974426632538983,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,卯,土,41,0.00018131193310574667,0.0001287476267560583,5.256430634968838e-05,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,卯,金,85,0.0018996945717320581,0.0001287476267560583,0.0017709469449759998,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,卯,水,81,-0.0011252025171602752,0.0001287476267560583,-0.0012539501439163335,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,辰,木,82,-0.005340096142633297,0.0001287476267560583,-0.0054688437693893545,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,辰,火,42,0.0018725009212223296,0.0001287476267560583,0.0017437532944662713,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,辰,土,42,0.0001196871925562917,0.0001287476267560583,-9.06043419976658e-06,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,辰,金,84,-0.0014173512357992931,0.0001287476267560583,-0.0015460988625553515,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,辰,水,83,-0.00020741869789483143,0.0001287476267560583,-0.0003361663246508897,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,巳,木,81,0.0011227922917857508,0.0001287476267560583,0.0009940446650296925,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,巳,火,42,-0.001166504765202631,0.0001287476267560583,-0.0012952523919586892,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,巳,土,42,0.00024099621193413915,0.0001287476267560583,0.00011224858517808086,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,巳,金,82,0.0020242508083091887,0.0001287476267560583,0.0018955031815531304,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,巳,水,80,-0.002361381084430995,0.0001287476267560583,-0.002490128711187053,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,午,木,78,-0.0008251694713103227,0.0001287476267560583,-0.0009539170980663811,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,午,火,42,-0.0005713045292370879,0.0001287476267560583,-0.0007000521559931462,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,午,土,44,-0.004654466089261513,0.0001287476267560583,-0.0047832137160175705,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,午,金,79,-0.0006292911353038152,0.0001287476267560583,-0.0007580387620598735,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,午,水,83,-0.000699132614740402,0.0001287476267560583,-0.0008278802414964603,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,未,木,81,0.0024687469407575252,0.0001287476267560583,0.002339999314001467,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,未,火,41,0.002844864103387858,0.0001287476267560583,0.0027161164766317998,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,未,土,42,0.000149224992832669,0.0001287476267560583,2.0477366076610703e-05,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,未,金,78,-0.0006219481231851824,0.0001287476267560583,-0.0007506957499412407,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,未,水,81,-0.0006972746502533777,0.0001287476267560583,-0.000826022277009436,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,申,木,82,-0.00040578835310145126,0.0001287476267560583,-0.0005345359798575095,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
399001.SZ,branch,申,火,38,0.0007818739513579066,0.0001287476267560583,0.0006531263246018483,5,ret_1d ~ C(branch) * C(year_element) + C(weekday) + C(month)
