ts_code,day_group,group_value,year_element,n_cell,marginal_mean,marginal_mean_all,marginal_effect_vs_all,jiazi_idx,hac_maxlags,formula
399001.SZ,ganzhi_day,丁丑,木,15,0.004129395074527117,0.0001287476267560596,0.004000647447771058,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁丑,火,9,-0.008808532677676416,0.0001287476267560596,-0.008937280304432475,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁丑,土,10,0.005183463684033542,0.0001287476267560596,0.005054716057277482,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁丑,金,15,0.0014267117860238033,0.0001287476267560596,0.0012979641592677437,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁丑,水,16,-0.0057993996538057485,0.0001287476267560596,-0.005928147280561808,13,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁亥,木,18,0.009250258011531969,0.0001287476267560596,0.00912151038477591,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁亥,火,9,0.005287331151069978,0.0001287476267560596,0.005158583524313918,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁亥,土,8,0.008052162650284732,0.0001287476267560596,0.007923415023528673,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁亥,金,14,-0.000804402229875961,0.0001287476267560596,-0.0009331498566320206,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁亥,水,15,-0.00027333066080330234,0.0001287476267560596,-0.0004020782875593619,23,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁卯,木,15,0.0016887101888640986,0.0001287476267560596,0.001559962562108039,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁卯,火,9,0.00037216687939311464,0.0001287476267560596,0.00024341925263705506,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁卯,土,7,-0.002483731461446831,0.0001287476267560596,-0.0026124790882028908,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁卯,金,18,-0.0033813701279812314,0.0001287476267560596,-0.003510117754737291,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁卯,水,15,-0.00424523245106996,0.0001287476267560596,-0.0043739800778260195,3,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁巳,木,16,0.00525664314082093,0.0001287476267560596,0.00512789551406487,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁巳,火,8,0.0052999709536391115,0.0001287476267560596,0.005171223326883052,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁巳,土,10,-0.0007578307109459472,0.0001287476267560596,-0.0008865783377020068,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁巳,金,17,0.0016926249959553737,0.0001287476267560596,0.0015638773691993141,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁巳,水,16,-0.004623621985017832,0.0001287476267560596,-0.004752369611773891,53,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁未,木,16,-0.005049243871788567,0.0001287476267560596,-0.005177991498544626,43,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁未,火,8,0.005348106742749674,0.0001287476267560596,0.005219359115993615,43,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁未,土,8,0.007738084182359258,0.0001287476267560596,0.007609336555603198,43,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁未,金,16,0.0012560434370881043,0.0001287476267560596,0.0011272958103320447,43,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁未,水,17,0.0012627972059224902,0.0001287476267560596,0.0011340495791664306,43,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁酉,木,17,0.013939627418249055,0.0001287476267560596,0.013810879791492996,33,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁酉,火,9,-0.003672871318817999,0.0001287476267560596,-0.003801618945574059,33,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁酉,土,7,0.004255412891949758,0.0001287476267560596,0.0041266652651936984,33,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁酉,金,15,0.0015950054669714277,0.0001287476267560596,0.001466257840215368,33,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
399001.SZ,ganzhi_day,丁酉,水,16,-0.0013726467009177925,0.0001287476267560596,-0.001501394327673852,33,5,ret_1d ~ C(ganzhi_day) * C(year_element) + C(weekday) + C(month)
