ts_code,train_years,group_value,n_years,match_ratio,p_sign
399001.SZ,3,丁,13,0.6153846153846154,0.5810546875
399001.SZ,3,丙,13,1.0,0.000244140625
399001.SZ,3,乙,13,0.5384615384615384,1.0
399001.SZ,3,壬,13,0.46153846153846156,1.0
399001.SZ,3,己,13,0.38461538461538464,0.5810546875
399001.SZ,3,庚,13,0.5384615384615384,1.0
399001.SZ,3,戊,13,0.5384615384615384,1.0
399001.SZ,3,甲,13,0.5384615384615384,1.0
399001.SZ,3,癸,13,0.6923076923076923,0.266845703125
399001.SZ,3,辛,13,0.5384615384615384,1.0
399001.SZ,5,丁,11,0.6363636363636364,0.548828125
399001.SZ,5,丙,11,1.0,0.0009765625
399001.SZ,5,乙,11,0.45454545454545453,1.0
399001.SZ,5,壬,11,0.36363636363636365,0.548828125
399001.SZ,5,己,11,0.45454545454545453,1.0
399001.SZ,5,庚,11,0.5454545454545454,1.0
399001.SZ,5,戊,11,0.5454545454545454,1.0
399001.SZ,5,甲,11,0.5454545454545454,1.0
399001.SZ,5,癸,11,0.7272727272727273,0.2265625
399001.SZ,5,辛,11,0.5454545454545454,1.0
399001.SZ,7,丁,9,0.6666666666666666,0.5078125
399001.SZ,7,丙,9,1.0,0.00390625
399001.SZ,7,乙,9,0.3333333333333333,0.5078125
399001.SZ,7,壬,9,0.4444444444444444,1.0
399001.SZ,7,己,9,0.5555555555555556,1.0
399001.SZ,7,庚,9,0.6666666666666666,0.5078125
399001.SZ,7,戊,9,0.5555555555555556,1.0
399001.SZ,7,甲,9,0.5555555555555556,1.0
399001.SZ,7,癸,9,0.7777777777777778,0.1796875
399001.SZ,7,辛,9,0.5555555555555556,1.0
