ts_code,oos_year,train_years,n_train,n_oos,spearman_mean_ret,spearman_p_up,train_bing_mean_ret_diff,oos_bing_mean_ret_diff
000852.SH,2015,5,1212,244,-0.5030303030303029,-0.480245379507251,-0.0011131378634783899,1.017378411716837e-05
000852.SH,2016,5,1214,244,-0.2727272727272727,0.17021355223041806,-0.00023313427109265632,-0.0012189278798706137
000852.SH,2017,5,1214,244,0.309090909090909,0.4878139466552833,-0.0007130669253114666,-0.0014877058288517305
000852.SH,2018,5,1215,243,0.12727272727272726,0.33742966300647553,-0.001421821917471366,-0.0016694274221280348
000852.SH,2019,5,1220,244,0.6848484848484848,-0.0303030303030303,-0.0011487333642447451,-0.004390005603926959
000852.SH,2020,5,1219,243,-0.006060606060606061,-0.12308216692591792,-0.0018005199923290401,-0.005600759810740295
000852.SH,2021,5,1218,243,0.13939393939393938,0.048632443494405174,-0.002882894316047823,-0.0017804079540040168
000852.SH,2022,5,1217,242,0.32121212121212117,-0.13939393939393938,-0.0030179775293769006,-0.005357805692480318
000852.SH,2023,5,1215,242,0.5151515151515151,0.26747843921922837,-0.003779397790242839,-0.00047735844963844626
000852.SH,2024,5,1214,242,-0.4787878787878787,-0.23100410659842455,-0.0035518186169462927,-0.0018384090858309015
000852.SH,2025,5,1212,243,0.3696969696969697,0.29179466096643103,-0.0030450833930830527,-0.0023593631290378435
