ts_code,oos_year,train_years,n_train,n_oos,spearman_mean_ret,spearman_p_up,train_bing_mean_ret_diff,oos_bing_mean_ret_diff
399001.SZ,2015,5,1212,244,-0.32121212121212117,-0.04573170731707318,-0.0020621222791543086,-0.0013759476354610412
399001.SZ,2016,5,1214,244,-0.5393939393939393,0.38770882581664146,-0.001248281745808507,-0.001270606518112224
399001.SZ,2017,5,1214,244,0.309090909090909,-0.23928181646454103,-0.001878242314580501,-0.001610856158247751
399001.SZ,2018,5,1215,243,0.2727272727272727,-0.24848484848484845,-0.002562699572204851,-0.0006781240904536838
399001.SZ,2019,5,1220,244,0.4787878787878787,-0.01823716631040194,-0.0013767632751708668,-0.002058239128432586
399001.SZ,2020,5,1219,243,0.05454545454545454,-0.3719512195121951,-0.0014057179890863802,-0.004618908112954266
399001.SZ,2021,5,1218,243,0.24848484848484845,-0.49391162098847435,-0.0020638230796730696,-0.004259418298995365
399001.SZ,2022,5,1217,242,-0.10303030303030303,0.18293022999573122,-0.0026570860096964484,-0.0042471988417344085
399001.SZ,2023,5,1215,242,0.5757575757575757,0.44377104688644714,-0.0031690180634092,-0.002077749209580259
399001.SZ,2024,5,1214,242,-0.33333333333333326,-0.36199044029251076,-0.0034504422032455135,-0.003944577539959531
399001.SZ,2025,5,1212,243,0.5272727272727272,-0.13373921960961418,-0.003838291476513663,-0.0022770244848341354
