ts_code,oos_year,stem,oos_effect
399001.SZ,2015,甲,-0.006575962267252416
399001.SZ,2015,乙,0.0031056374943212307
399001.SZ,2015,丙,-0.001050596086169365
399001.SZ,2015,丁,0.015230333014200667
399001.SZ,2015,戊,0.0011895521687998339
399001.SZ,2015,己,-0.0010334149358109084
399001.SZ,2015,庚,-0.001996825664211296
399001.SZ,2015,辛,0.0024800833935325023
399001.SZ,2015,壬,-0.0016157908175234122
399001.SZ,2015,癸,-0.009733016299886833
399001.SZ,2016,甲,0.0016966047244699372
399001.SZ,2016,乙,0.0011132506891685314
399001.SZ,2016,丙,-0.001251515293267239
399001.SZ,2016,丁,-0.0036168641870480277
399001.SZ,2016,戊,-0.000477669134618417
399001.SZ,2016,己,0.002416478928493391
399001.SZ,2016,庚,-0.0004967713263157545
399001.SZ,2016,辛,-0.0025748925389482537
399001.SZ,2016,壬,-0.002573472039125149
399001.SZ,2016,癸,0.005764850177190982
399001.SZ,2017,甲,0.0009675989299317471
399001.SZ,2017,乙,-0.0037714850667888242
399001.SZ,2017,丙,-0.0016520567805875055
399001.SZ,2017,丁,0.0036486308691755214
399001.SZ,2017,戊,-0.002099468911256716
399001.SZ,2017,己,0.0007217359044165421
399001.SZ,2017,庚,0.0003102682162524744
399001.SZ,2017,辛,-0.0002195897637081544
399001.SZ,2017,壬,0.0025235101223567966
399001.SZ,2017,癸,-0.00042914351979188195
399001.SZ,2018,甲,-0.0015650812511421154
399001.SZ,2018,乙,0.0016181575511842474
399001.SZ,2018,丙,-0.0007183710364826446
399001.SZ,2018,丁,0.0031856365450973903
399001.SZ,2018,戊,0.0012106700353172514
399001.SZ,2018,己,-8.943189674520224e-05
399001.SZ,2018,庚,-0.002070911956889564
399001.SZ,2018,辛,0.0012080660176428631
399001.SZ,2018,壬,-0.003891774658871097
399001.SZ,2018,癸,0.0011130406508888715
399001.SZ,2019,甲,-0.0015541747930405013
399001.SZ,2019,乙,0.0002108357505152124
399001.SZ,2019,丙,-0.002017097036034106
399001.SZ,2019,丁,0.0033349396019842423
399001.SZ,2019,戊,0.003862915255584046
399001.SZ,2019,己,0.0014683019221324622
399001.SZ,2019,庚,-0.002255805985669438
399001.SZ,2019,辛,0.0007565811401587629
399001.SZ,2019,壬,-0.0014844504428606967
399001.SZ,2019,癸,-0.002322045412769983
399001.SZ,2020,甲,0.0018020773078064618
399001.SZ,2020,乙,-0.0009423625543329536
399001.SZ,2020,丙,-0.004716347136169256
399001.SZ,2020,丁,0.004987055211034211
399001.SZ,2020,戊,-0.003082865994190006
399001.SZ,2020,己,-0.00027056569806985014
399001.SZ,2020,庚,0.00013309413185628506
399001.SZ,2020,辛,-0.003104207836322994
399001.SZ,2020,壬,0.0030249364377544436
399001.SZ,2020,癸,0.0021691861306336584
399001.SZ,2021,甲,0.0008697851445219648
399001.SZ,2021,乙,-0.003961266379204413
399001.SZ,2021,丙,-0.004003623188883569
399001.SZ,2021,丁,-0.0010695088938666888
399001.SZ,2021,戊,0.0038826768782965586
399001.SZ,2021,己,0.002376698183085479
399001.SZ,2021,庚,0.002412268954195022
399001.SZ,2021,辛,-0.0021990053936166284
399001.SZ,2021,壬,-0.00039311032683155516
399001.SZ,2021,癸,0.0020850850223038293
399001.SZ,2022,甲,-0.0018016445925443435
399001.SZ,2022,乙,-0.0016163199980362118
399001.SZ,2022,丙,-0.004098940072398878
399001.SZ,2022,丁,-0.003114084676174656
399001.SZ,2022,戊,0.0013262497804345306
399001.SZ,2022,己,-0.0022294573329993857
399001.SZ,2022,庚,0.0018314198899103016
399001.SZ,2022,辛,0.0019180430428402577
399001.SZ,2022,壬,0.00645213259359531
399001.SZ,2022,癸,0.0013326013653730726
399001.SZ,2023,甲,-0.000237776321676275
399001.SZ,2023,乙,-0.001666181137621187
399001.SZ,2023,丙,-0.0022660410101638068
399001.SZ,2023,丁,-0.0010067536419258942
399001.SZ,2023,戊,0.00323028376989236
399001.SZ,2023,己,-2.891405877725943e-06
399001.SZ,2023,庚,0.0015889147133469495
399001.SZ,2023,辛,-0.0009765210421964542
399001.SZ,2023,壬,0.00043712838394238093
399001.SZ,2023,癸,0.000899837692279653
399001.SZ,2024,甲,0.0017352118583289116
399001.SZ,2024,乙,0.004979897124857762
399001.SZ,2024,丙,-0.004000571547664336
399001.SZ,2024,丁,0.002729475414604336
399001.SZ,2024,戊,-0.0037605511444969092
399001.SZ,2024,己,-0.0033549135369687773
399001.SZ,2024,庚,-0.0017368133960099562
399001.SZ,2024,辛,0.006136660026717512
399001.SZ,2024,壬,-0.004285916995279302
399001.SZ,2024,癸,0.0015575221959107592
399001.SZ,2025,甲,-0.002151848862663796
399001.SZ,2025,乙,-0.0006994122493772575
399001.SZ,2025,丙,-0.0022655818158660483
399001.SZ,2025,丁,0.002105020874168917
399001.SZ,2025,戊,-0.00209647031489978
399001.SZ,2025,己,0.0016056672372652516
399001.SZ,2025,庚,0.00041713991765395626
399001.SZ,2025,辛,-2.607118518389807e-05
399001.SZ,2025,壬,-0.0012272477946048321
399001.SZ,2025,癸,0.004338804193507486
