ts_code,oos_year,stem,oos_effect,train_years
399001.SZ,2013,甲,0.0016891159782439014,3
399001.SZ,2013,乙,0.0021055598122448798,3
399001.SZ,2013,丙,-0.006548500292977037,3
399001.SZ,2013,丁,0.0019558639516040377,3
399001.SZ,2013,戊,0.003408074455376263,3
399001.SZ,2013,己,-0.002216666757003495,3
399001.SZ,2013,庚,0.0024844649928923244,3
399001.SZ,2013,辛,-0.00396953151165918,3
399001.SZ,2013,壬,0.0033562715548944876,3
399001.SZ,2013,癸,-0.002264652183616182,3
399001.SZ,2014,甲,-0.0033887024956115426,3
399001.SZ,2014,乙,0.002736590717680367,3
399001.SZ,2014,丙,-0.002054842079872749,3
399001.SZ,2014,丁,-0.00022853642925705947,3
399001.SZ,2014,戊,-0.002581960750018992,3
399001.SZ,2014,己,-0.0015535472774625449,3
399001.SZ,2014,庚,-0.002469130148020316,3
399001.SZ,2014,辛,0.0012007346857166761,3
399001.SZ,2014,壬,0.003941260063287802,3
399001.SZ,2014,癸,0.00439813371355836,3
399001.SZ,2015,甲,-0.006780307433931832,3
399001.SZ,2015,乙,0.0031474120146024387,3
399001.SZ,2015,丙,-0.0010741816757060011,3
399001.SZ,2015,丁,0.015276877695631939,3
399001.SZ,2015,戊,0.0013774351538991844,3
399001.SZ,2015,己,-0.000994155311935522,3
399001.SZ,2015,庚,-0.0020697929802880903,3
399001.SZ,2015,辛,0.002485559642324952,3
399001.SZ,2015,壬,-0.0015032566739062452,3
399001.SZ,2015,癸,-0.009865590430690824,3
399001.SZ,2016,甲,0.001744318117577351,3
399001.SZ,2016,乙,0.0010354913982206398,3
399001.SZ,2016,丙,-0.001054763263422024,3
399001.SZ,2016,丁,-0.003507127650428499,3
399001.SZ,2016,戊,-0.0004517261800313947,3
399001.SZ,2016,己,0.002428006433593719,3
399001.SZ,2016,庚,-0.0003537360902247505,3
399001.SZ,2016,辛,-0.002558031511323643,3
399001.SZ,2016,壬,-0.0029455337454176852,3
399001.SZ,2016,癸,0.005663102491456286,3
399001.SZ,2017,甲,0.0007928583518267767,3
399001.SZ,2017,乙,-0.0036894217661055584,3
399001.SZ,2017,丙,-0.0016783124502862986,3
399001.SZ,2017,丁,0.003501481939444158,3
399001.SZ,2017,戊,-0.0021040475547743666,3
399001.SZ,2017,己,0.0005196149517099097,3
399001.SZ,2017,庚,0.0003323870310969091,3
399001.SZ,2017,辛,-3.000311866470365e-05,3
399001.SZ,2017,壬,0.002750936140009962,3
399001.SZ,2017,癸,-0.0003954935242567889,3
399001.SZ,2018,甲,-0.0016670196487259465,3
399001.SZ,2018,乙,0.0016168175937182993,3
399001.SZ,2018,丙,-0.0006783051038868045,3
399001.SZ,2018,丁,0.0032726311609028173,3
399001.SZ,2018,戊,0.0011183197863260381,3
399001.SZ,2018,己,-0.00013223481542458263,3
399001.SZ,2018,庚,-0.002172939585472318,3
399001.SZ,2018,辛,0.0011426926649545904,3
399001.SZ,2018,壬,-0.0037982389720962037,3
399001.SZ,2018,癸,0.00129827691970411,3
399001.SZ,2019,甲,-0.0015597226124843904,3
399001.SZ,2019,乙,0.000129145989916746,3
399001.SZ,2019,丙,-0.001987957618942014,3
399001.SZ,2019,丁,0.003400867218067472,3
399001.SZ,2019,戊,0.0039173232224313185,3
399001.SZ,2019,己,0.001453961958667762,3
399001.SZ,2019,庚,-0.0022400656657672823,3
399001.SZ,2019,辛,0.0009483002814130986,3
399001.SZ,2019,壬,-0.0017404513224929755,3
399001.SZ,2019,癸,-0.0023214014508097383,3
399001.SZ,2020,甲,0.0016658946176073205,3
399001.SZ,2020,乙,-0.0010001029942112425,3
399001.SZ,2020,丙,-0.004622434995744091,3
399001.SZ,2020,丁,0.004932927452864647,3
399001.SZ,2020,戊,-0.0031814102652635945,3
399001.SZ,2020,己,-0.00021637292916308333,3
399001.SZ,2020,庚,0.00015908210703255237,3
