group_value,n,p_up,mean_ret,median_ret,std_ret,q05_ret,group_type
丁,401,0.5486284289276808,0.0005080242494324189,0.0006280921233028369,0.009847330873145052,-0.01576923702342592,stem
丙,405,0.5308641975308642,0.0006153015136424634,0.0003978560236475026,0.010277765511582042,-0.01441509075704237,stem
乙,408,0.5465686274509803,0.0004135816170213711,0.0006949627792784963,0.011042155701713447,-0.015302197123728122,stem
壬,405,0.5160493827160494,0.00034510762841895987,0.00034516709482490526,0.009571918923288491,-0.014721685025513962,stem
己,404,0.5717821782178217,0.0009997170943268575,0.0008415816776611296,0.010305612951518463,-0.014387682169503983,stem
庚,407,0.5552825552825553,7.623892317711866e-05,0.0009888175707171154,0.010015568130493743,-0.018270955398933694,stem
戊,406,0.5098522167487685,0.000295002640242916,0.00015386259423444404,0.012237548708506135,-0.014212042068721509,stem
甲,408,0.5441176470588235,0.0002466586214800813,0.00045206165956268585,0.010892568683842916,-0.015012340644808785,stem
癸,402,0.5248756218905473,4.409315752258441e-05,0.000533692524263385,0.009800426564435088,-0.016463554882531973,stem
辛,407,0.5773955773955773,0.0008117088820755637,0.0011132880128685851,0.0102568013160181,-0.015305439858185665,stem
丑,339,0.5309734513274337,5.996314287044358e-05,0.0006765802925692288,0.009683382032594775,-0.015660463109508957,branch
亥,336,0.5595238095238095,0.0010844287403098609,0.0008966925287795524,0.009737743881870346,-0.014581317231525087,branch
午,335,0.49850746268656715,-0.00045774262043108224,-1.5416683877056414e-05,0.011448083624813905,-0.01453980332657332,branch
卯,339,0.5545722713864307,0.00103149230059299,0.0007543540035326313,0.011474939587617923,-0.01499444731634395,branch
子,343,0.5510204081632653,0.00028534769034204555,0.0008154302873819574,0.009086173693656253,-0.015573634781107036,branch
寅,336,0.5357142857142857,0.0006638758250523983,0.0004927795152391834,0.012083798326055181,-0.01286389179241551,branch
巳,338,0.5591715976331361,0.00041275524475620744,0.0008857158408140942,0.010128093850375256,-0.017976092374171304,branch
戌,337,0.543026706231454,0.0006920506192254505,0.0003837596412938904,0.009829064366075018,-0.014396122930700516,branch
未,332,0.5692771084337349,0.00022091723512910913,0.000924145277167665,0.009977798535063753,-0.015544844558238152,branch
