group_value,n,p_up,mean_ret,median_ret,std_ret,q05_ret,group_type
丁,401,0.5586034912718204,0.0008083415995773736,0.0015392732575785217,0.01324425568097094,-0.022815985130111516,stem
丙,405,0.5456790123456791,0.0009154818790321102,0.00118738999461665,0.01214979633870492,-0.01846789780861666,stem
乙,408,0.5735294117647058,0.00043381641618167,0.0014009336405383932,0.013208952701868181,-0.021573600029160485,stem
壬,405,0.5506172839506173,0.0008342106072845119,0.0006586025481536417,0.012407467166815829,-0.017417676655857202,stem
己,404,0.5420792079207921,0.0006197128867687228,0.0008377132584717062,0.012671309680771032,-0.019100442009799927,stem
庚,407,0.5626535626535627,0.0002881581216685733,0.001264355262826422,0.012215591641719514,-0.023341368461056944,stem
戊,406,0.5615763546798029,0.0006490741794065784,0.0009067800883282295,0.015267796135635937,-0.022525621738306134,stem
甲,409,0.5378973105134475,-0.0001079234971622129,0.0005987464705303758,0.012984366140767369,-0.022350589202231274,stem
癸,402,0.5621890547263682,0.000540488416972552,0.0014076980564208252,0.011793333782155142,-0.020608871386722766,stem
辛,407,0.5896805896805897,0.0014841060683856186,0.001575985564294946,0.012877767924209143,-0.018125439943077037,stem
丑,339,0.5368731563421829,6.105363722096138e-05,0.0006427571028411183,0.012170710873705174,-0.021639946882117667,branch
亥,336,0.6011904761904762,0.002208841595723553,0.0016887680295134544,0.012130865491075983,-0.015215866558909968,branch
午,336,0.5476190476190477,-0.0005999925383121653,0.0007440142486541124,0.013600925251510678,-0.022690853286916557,branch
卯,339,0.56047197640118,0.000997330704976816,0.0010375412605425627,0.01393739075491228,-0.019073502978719046,branch
子,343,0.5626822157434402,0.0002564107890744241,0.0010694866891687305,0.011912261027709732,-0.020368342515883354,branch
寅,336,0.5714285714285714,0.0007082778282721224,0.0014036836457904656,0.013655935107877566,-0.020646736902777296,branch
巳,338,0.5680473372781065,0.0006074981958025282,0.0016263140933219233,0.012792754696212133,-0.021372881581596302,branch
戌,337,0.543026706231454,0.0009011977627623944,0.001201237377757236,0.012177644387529269,-0.019540974436124504,branch
未,332,0.5692771084337349,0.0002071411543444088,0.0009715140821628943,0.0127612289962453,-0.02213585729762314,branch
申,339,0.5870206489675516,0.001691005361027744,0.00130340911939264,0.01371588321532562,-0.01736050168572646,branch
辰,341,0.49853372434017595,0.00012903811571455086,-0.00016210933932458982,0.013116300686173811,-0.021734945123568994,branch
酉,338,0.5562130177514792,0.0005850451992643976,0.0012723855538491202,0.012680031337607303,-0.021475572934543257,branch
丁丑,68,0.5441176470588235,0.0020323474966330614,0.0022549291201044985,0.012363095429571456,-0.01962893662155813,ganzhi_day
丁亥,66,0.6363636363636364,0.003677273482274299,0.003378665846759721,0.014055543277793679,-0.02140032820342902,ganzhi_day
丁卯,67,0.5074626865671642,0.00033716012945543696,1.3440498911387877e-05,0.014178645081404102,-0.021999248730354293,ganzhi_day
丁巳,67,0.43283582089552236,-0.0013874195033981855,-0.0005259566342012967,0.012376455021649895,-0.021043495995226112,ganzhi_day
丁未,66,0.6363636363636364,0.00046311562620455837,0.001992414990331315,0.012592744821289081,-0.024477836843127793,ganzhi_day
丁酉,67,0.5970149253731343,-0.0002530291260591308,0.002700409250566471,0.013668348382189999,-0.0225506565292798,ganzhi_day
丙午,67,0.5373134328358209,0.0001535285257676423,0.0002632951257168781,0.009999789225983591,-0.016097709061306108,ganzhi_day
丙子,68,0.5588235294117647,-0.00023734701560412143,0.0012694309320534503,0.01015860672602868,-0.019232108423229078,ganzhi_day
丙寅,68,0.5735294117647058,0.001987898973877524,0.0020854261061892254,0.014893834810083066,-0.019429692697162104,ganzhi_day
丙戌,66,0.5303030303030303,0.0009593189991301997,0.002561303672214854,0.01070844727328382,-0.01707773921625419,ganzhi_day
丙申,67,0.5373134328358209,0.0016232399642933841,0.0009633399055886116,0.013401645461956102,-0.015025946171238235,ganzhi_day
丙辰,69,0.5362318840579711,0.0010054215227352367,0.0007923276274739433,0.013123837965607075,-0.018763629578114505,ganzhi_day
乙丑,68,0.6176470588235294,0.00041075579454871887,0.002149807058703823,0.011024525810377047,-0.02091523438798811,ganzhi_day
乙亥,67,0.6119402985074627,0.0020629379624816195,0.0013786859743978308,0.011068346710621294,-0.014225457742705672,ganzhi_day
乙卯,69,0.5797101449275363,0.0024556664805112046,0.0020898130579083407,0.016690327058218775,-0.01930644081216204,ganzhi_day
乙巳,69,0.5942028985507246,-5.779358154171014e-06,0.0026122861717368107,0.013241998998978342,-0.02575773327035904,ganzhi_day
乙未,67,0.5671641791044776,0.0004788063519836155,0.0006901302107480412,0.013319145736709281,-0.015938061101312795,ganzhi_day
乙酉,68,0.47058823529411764,-0.0027981378932205527,-0.0009120664989775706,0.012827624535722504,-0.026063742484449964,ganzhi_day
壬午,66,0.45454545454545453,-5.396481633081165e-06,-0.0006819680371878967,0.011112193582564626,-0.015656025580800065,ganzhi_day
壬子,69,0.5362318840579711,5.90970875833149e-05,0.00023551417180911471,0.013679207400326692,-0.020012491915915455,ganzhi_day
壬寅,66,0.5909090909090909,0.000172360890829381,0.0020234099302557373,0.013267149397534775,-0.017314111836890772,ganzhi_day
壬戌,68,0.5294117647058824,0.0008864412816034457,0.001258697294336919,0.011673661915103353,-0.013924033336371294,ganzhi_day
壬申,68,0.6617647058823529,0.002658429329599607,0.002550380323809054,0.012388689362862536,-0.015795328577705166,ganzhi_day
壬辰,68,0.5294117647058824,0.0012015697696796358,0.0010621814334974555,0.012360403091968624,-0.014776895681991087,ganzhi_day
己丑,67,0.4626865671641791,-0.0006995488231496895,-0.0006897834164277805,0.012993179438765774,-0.019925150470741025,ganzhi_day
己亥,69,0.5942028985507246,0.002661232264297378,0.001691128279921239,0.008075551508687027,-0.009475952810324938,ganzhi_day
己卯,68,0.5441176470588235,0.0010865247905668266,0.0006321160318362162,0.013735938873164608,-0.018620507314521133,ganzhi_day
己巳,67,0.582089552238806,-7.310074426073934e-05,0.001689252993440249,0.013369357197853794,-0.027508483238242495,ganzhi_day
己未,66,0.5,-0.0004417319520090801,-0.0003067327141298426,0.012929140034384268,-0.01803837332675054,ganzhi_day
己酉,67,0.5671641791044776,0.0011011511060984882,0.0012067314332029344,0.014187538381907975,-0.020625934015795332,ganzhi_day
庚午,67,0.5970149253731343,0.00040588893680507484,0.002164493035410553,0.012548818123759062,-0.018504163492653537,ganzhi_day
庚子,69,0.6521739130434783,0.0002561327736522581,0.002754997437211637,0.012569628328901447,-0.028595191024608724,ganzhi_day
庚寅,68,0.6176470588235294,0.002855558954609901,0.0021435543283327974,0.00962808383413693,-0.011222767801255851,ganzhi_day
庚戌,69,0.5797101449275363,0.0011316287443532945,0.0020282537161013803,0.013399316611418396,-0.023092955356528486,ganzhi_day
庚申,66,0.5151515151515151,-0.0018408302500179847,0.0002881953583756536,0.01386553578449865,-0.025735298994787992,ganzhi_day
庚辰,68,0.4117647058823529,-0.0011522494176691188,-0.000903234315489776,0.010644847398289772,-0.021393744734812165,ganzhi_day
戊午,68,0.6470588235294118,-0.0008217488681017894,0.0012951486487292607,0.019744199388410984,-0.027977450471697123,ganzhi_day
戊子,70,0.5,-0.00035930272505908204,-0.0001702934847114257,0.011134725038847933,-0.02067693272240189,ganzhi_day
戊寅,67,0.5223880597014925,0.00018557595317338516,8.454540239077879e-05,0.012429862749807861,-0.021842058207624894,ganzhi_day
戊戌,66,0.5606060606060606,0.0014097689942286183,0.0010808778651180129,0.012454828880185335,-0.020281294765873176,ganzhi_day
戊申,68,0.5735294117647058,0.0025337932484571436,0.00116587565534787,0.01840981253146945,-0.017121029862745118,ganzhi_day
戊辰,67,0.5671641791044776,0.000996685779810998,0.002129104397596171,0.01567948595952016,-0.026133960860232064,ganzhi_day
甲午,68,0.5,-0.0026888731183316843,8.743041995751266e-05,0.012460555995518879,-0.02485832314812365,ganzhi_day
甲子,67,0.5671641791044776,0.001604310866305805,0.0015715008797514418,0.011950688866722351,-0.01941717610614887,ganzhi_day
甲寅,67,0.5522388059701493,-0.0017191521864935477,0.000848819231818565,0.016924033597283884,-0.023992096022352062,ganzhi_day
甲戌,68,0.5147058823529411,0.00013210952911519563,2.2903385073935745e-05,0.012749089043021,-0.02206224581341247,ganzhi_day
甲申,70,0.6428571428571429,0.003327391442486806,0.0017833132876489133,0.008616010882522054,-0.008479538729822201,ganzhi_day
甲辰,69,0.4492753623188406,-0.0013841133158568335,-0.0016860566444536484,0.01343579048236576,-0.023704516118320983,ganzhi_day
癸丑,67,0.5671641791044776,-0.001726471820610726,0.0007111131835721984,0.012495447155930752,-0.0223888053016142,ganzhi_day
癸亥,65,0.5692307692307692,0.001833485303893551,0.0008811482565376227,0.010264893842143808,-0.013690731288152857,ganzhi_day
癸卯,68,0.5588235294117647,0.0002535530161590573,0.0009054826185470599,0.012967243921463627,-0.01649449030023356,ganzhi_day
癸巳,67,0.5970149253731343,-1.4018207585750798e-05,0.002810678742175554,0.011631262922538636,-0.025694694539311957,ganzhi_day
癸未,67,0.5522388059701493,0.0011053533890435366,0.0024604458794474926,0.01200306245549922,-0.022609309128000375,ganzhi_day
癸酉,68,0.5294117647058824,0.0018148874793281788,0.0012790895833205695,0.0112029213774292,-0.014970356771564558,ganzhi_day
辛丑,69,0.4927536231884058,0.00024796438187670564,-0.00015968179772674063,0.011948215501740245,-0.018056484915285533,ganzhi_day
辛亥,69,0.5942028985507246,0.0008471349544513278,0.0016418590158431279,0.01576386025174955,-0.022728164003164773,ganzhi_day
辛卯,67,0.6119402985074627,0.0008199866015073594,0.0014818307481294646,0.011884848885796707,-0.016384562325538053,ganzhi_day
辛巳,68,0.6323529411764706,0.004478341799930671,0.0019585782786694095,0.012827210001930048,-0.014351549108453515,ganzhi_day
辛未,66,0.5909090909090909,-0.0005875630591420765,0.001404312448760603,0.01323160100982449,-0.02496557482661138,ganzhi_day
辛酉,68,0.6176470588235294,0.003055619600491336,0.002513207093177927,0.010771691846214453,-0.011896056445124759,ganzhi_day
