group_value,n,p_up,mean_ret,median_ret,std_ret,q05_ret,group_type
丁,401,0.5760598503740648,0.0009189988998990239,0.0016221259694235712,0.013566708074473525,-0.02279478015852543,stem
丙,405,0.5703703703703704,0.0010940037096704243,0.0013117621337996876,0.012312408020643692,-0.018209988939624222,stem
乙,408,0.5735294117647058,0.0005530911318058631,0.0012640112539193948,0.013389107977946957,-0.02132164773481409,stem
壬,405,0.5481481481481482,0.0008423152060878839,0.0007383587277307591,0.012479096606036683,-0.017342462494631672,stem
己,404,0.551980198019802,0.0006536842763694154,0.000990954044823411,0.013023354882665521,-0.019276862376975765,stem
庚,407,0.547911547911548,0.00020106715247764862,0.0014420518569973062,0.012365695888531392,-0.023797295875131106,stem
戊,406,0.5344827586206896,0.0007326547975895569,0.0009355049927655124,0.015412031358382941,-0.02424270409649057,stem
甲,408,0.5343137254901961,-5.256151667302026e-05,0.0008716673657777063,0.013319986695102398,-0.02282844454514674,stem
癸,402,0.5597014925373134,0.0006661376082414454,0.0014491837251826567,0.01206096193079677,-0.02099254986532597,stem
辛,407,0.5773955773955773,0.001608998463873505,0.0017107087391927678,0.01292434748667995,-0.01791786434387452,stem
丑,339,0.5545722713864307,0.00019742196046360964,0.0010579504490950686,0.012284255725404966,-0.020707947336556697,branch
亥,336,0.6130952380952381,0.0022930991694178567,0.0020595885688502458,0.012487899352362148,-0.015387632882977731,branch
午,335,0.5582089552238806,-0.0005197612603440943,0.000671057149099541,0.013756929876373258,-0.02272536563862212,branch
卯,339,0.5634218289085545,0.001280505554276217,0.0015305257806210726,0.01425532665519034,-0.019218093822701864,branch
子,343,0.5539358600583091,0.00028688809264746604,0.0010108975787603836,0.01227161035577621,-0.02233614645740515,branch
寅,336,0.5535714285714286,0.000739340663106603,0.0015552947583923338,0.013721512408025152,-0.020601600942564524,branch
巳,338,0.5769230769230769,0.0006614790077406474,0.0012411231634872344,0.013250471396637185,-0.022230249557508845,branch
戌,337,0.5489614243323442,0.0008795578193603774,0.0010216481920803933,0.012338047404302652,-0.02056125150615067,branch
未,332,0.5451807228915663,0.0002690841688408621,0.000890846264498979,0.012898990855761426,-0.022084533409711487,branch
申,339,0.5545722713864307,0.0018019265267841065,0.0014586938017795426,0.01386995464676207,-0.01736876335657206,branch
辰,341,0.5131964809384164,0.00018208535744398347,0.0002616465416869218,0.013287001433912222,-0.021582370868430845,branch
酉,338,0.5532544378698225,0.000581370664220166,0.0012194245060653808,0.012676810985527618,-0.021782110516408812,branch
丁丑,68,0.6176470588235294,0.002089159719084144,0.002061988550542959,0.012451180744592436,-0.020073792761809282,ganzhi_day
丁亥,66,0.6515151515151515,0.0036076849573892706,0.002837167025640075,0.014930484786850913,-0.02017078295850358,ganzhi_day
丁卯,67,0.5522388059701493,0.0007411867667050799,0.0007985278191482426,0.014547109259787791,-0.023910832410629943,ganzhi_day
丁巳,67,0.4925373134328358,-0.0013051153504185708,-0.0004407928490393065,0.013123680737604341,-0.021238145657521357,ganzhi_day
丁未,66,0.5454545454545454,0.000387092150182743,0.0020018762022435688,0.012484787247772572,-0.024751919595926458,ganzhi_day
丁酉,67,0.5970149253731343,8.710805534892189e-06,0.0024015651841231556,0.013652484872761963,-0.023903854038746817,ganzhi_day
丙午,67,0.5522388059701493,0.00040726070093464084,0.000342011098811712,0.010422852906712321,-0.0160958433469502,ganzhi_day
丙子,68,0.5882352941176471,-8.275786705049542e-06,0.0014553911398019759,0.010557861380059838,-0.01957609676312245,ganzhi_day
丙寅,68,0.6323529411764706,0.002300236709016004,0.0021145293097047935,0.014313753050061037,-0.01734018681281512,ganzhi_day
丙戌,66,0.5303030303030303,0.0008952639061310032,0.0008756260041180575,0.011069390455265555,-0.01848076818985575,ganzhi_day
丙申,67,0.5522388059701493,0.0018374789453039,0.0013351987590863867,0.013706250924462838,-0.01711049327535461,ganzhi_day
丙辰,69,0.5652173913043478,0.0011265679071992532,0.0016352909032377738,0.013428857968680862,-0.021434265687649834,ganzhi_day
乙丑,68,0.6029411764705882,0.000451566004318906,0.0032325388806694333,0.011140441231476384,-0.020370852509021715,ganzhi_day
乙亥,67,0.6417910447761194,0.0021135423442134294,0.0014619092621468432,0.011646304866630878,-0.015603496640507919,ganzhi_day
乙卯,69,0.5942028985507246,0.0026884061227579366,0.0033333196074958327,0.01750849031250695,-0.019661738354369775,ganzhi_day
乙巳,69,0.5942028985507246,0.00014688661927237398,0.0019078120210924698,0.013239484891911015,-0.02494073307204345,ganzhi_day
乙未,67,0.5522388059701493,0.0007447757159961821,0.0007780126534333576,0.012886544297027633,-0.015242284665579664,ganzhi_day
乙酉,68,0.45588235294117646,-0.002826291408103365,-0.000599721503057149,0.012638053923284633,-0.02661775730890951,ganzhi_day
壬午,66,0.5151515151515151,-0.0001093946087696963,7.980282127006966e-05,0.01132920640002704,-0.01782590747112628,ganzhi_day
壬子,69,0.4927536231884058,3.813832788640961e-05,-0.0004364008889772286,0.014194036966948964,-0.020970807289858694,ganzhi_day
壬寅,66,0.5454545454545454,0.0002928209643610389,0.0015552947583923338,0.012728772519501125,-0.016289327748079813,ganzhi_day
壬戌,68,0.5294117647058824,0.0006298982234355116,0.000477438051738055,0.011353335502143567,-0.014034921622101033,ganzhi_day
壬申,68,0.6176470588235294,0.002777325030713852,0.0024513109085614326,0.012906507769577066,-0.01643949985912076,ganzhi_day
壬辰,68,0.5882352941176471,0.0013927763689741968,0.0012109523729212368,0.012302355386368523,-0.01654710905827263,ganzhi_day
己丑,67,0.4626865671641791,-0.0004898364643592117,-0.001199266999739046,0.013049759238606334,-0.019631361627853193,ganzhi_day
己亥,69,0.6231884057971014,0.0025750233203783485,0.0022188071664475117,0.008412929074174283,-0.010195672885976047,ganzhi_day
己卯,68,0.5735294117647058,0.0014636053894088272,0.0009151013514658857,0.013932040717688806,-0.01682638253357287,ganzhi_day
己巳,67,0.5970149253731343,-0.00011742866209865188,0.0014228116488361753,0.014356143852413166,-0.02874121883468945,ganzhi_day
己未,66,0.48484848484848486,-0.0006396638873558629,-0.0004526367672241238,0.013293640193188133,-0.016738808334131106,ganzhi_day
己酉,67,0.5671641791044776,0.0010416604791865865,0.0016579518504680202,0.014385420105642881,-0.022724734109325826,ganzhi_day
庚午,67,0.5671641791044776,0.0005572622675670865,0.0014494547664327673,0.012725529923345415,-0.022876695291165493,ganzhi_day
庚子,69,0.6231884057971014,6.411879483051972e-05,0.00302841274951704,0.012875811841654585,-0.028568828325311955,ganzhi_day
庚寅,68,0.6176470588235294,0.002687743202744415,0.0028768754707795274,0.010163985653572264,-0.013175326647526431,ganzhi_day
庚戌,69,0.6086956521739131,0.0009810393638997196,0.0023568494534353945,0.013713501457283341,-0.02329828411031527,ganzhi_day
庚申,66,0.4393939393939394,-0.001778025121685619,-0.0006170118663177404,0.013463169970043674,-0.024246817589271413,ganzhi_day
庚辰,68,0.4264705882352941,-0.0013681622584757012,-0.0015974572533408726,0.010741624742327666,-0.019693508619616107,ganzhi_day
戊午,68,0.6470588235294118,-0.0007887168411576009,0.0016556551605194647,0.019732454934512717,-0.029478847453336066,ganzhi_day
戊子,70,0.4714285714285714,-0.00022691803347809624,-0.0006396313734987058,0.011565843033949417,-0.02157835561880328,ganzhi_day
戊寅,67,0.44776119402985076,0.00026944195993976,-0.0007604942855816699,0.01286914732530806,-0.023662644630792627,ganzhi_day
戊戌,66,0.5454545454545454,0.0015794114923938583,0.0014885793455862162,0.012473864149435951,-0.019088759637132857,ganzhi_day
戊申,68,0.5441176470588235,0.0025433950439617647,0.0012971126133884958,0.018483292390678713,-0.016032137448803486,ganzhi_day
戊辰,67,0.5522388059701493,0.001070600336719181,0.001472176960952476,0.015779833427972297,-0.024473341731370456,ganzhi_day
甲午,67,0.5074626865671642,-0.002655078682498067,0.0006778197576897682,0.012592197680603793,-0.024901405404824994,ganzhi_day
甲子,67,0.5970149253731343,0.001608864032089893,0.0015640815599238245,0.012111540703026077,-0.018423454822301944,ganzhi_day
甲寅,67,0.5223880597014925,-0.001912581584472871,0.0004525810920450457,0.01742519497756672,-0.025687507228504224,ganzhi_day
甲戌,68,0.5294117647058824,0.00033172961057516026,0.0007957011552880422,0.013151287811531605,-0.022999698409662022,ganzhi_day
甲申,70,0.6142857142857143,0.0034754670885394252,0.0024057305044167254,0.009047595604843322,-0.008357059348088568,ganzhi_day
甲辰,69,0.43478260869565216,-0.00129052262003526,-0.0021271537431650778,0.013789409857732646,-0.023027627092860457,ganzhi_day
癸丑,67,0.5373134328358209,-0.001644466371315782,0.0010579504490950686,0.012530605031160706,-0.02294875062852032,ganzhi_day
癸亥,65,0.6,0.002241073500624362,0.0017412303170383225,0.010446034425062074,-0.015098637829533445,ganzhi_day
癸卯,68,0.5294117647058824,0.00045399942029767477,0.0013447601060703196,0.0133968859504397,-0.016326374029684003,ganzhi_day
