group_value,n,p_up,mean_ret,median_ret,std_ret,q05_ret,group_type
丁,401,0.543640897755611,0.0005392812459326833,0.0006877403907383783,0.010738502896311402,-0.016467921915084505,stem
丙,405,0.5407407407407407,0.0007302862625125402,0.0005977699520971491,0.010270044290466174,-0.015123046809659656,stem
乙,408,0.5661764705882353,0.0004216529302639966,0.0010664266331358307,0.011542070149029231,-0.016649359718930584,stem
壬,405,0.5061728395061729,0.00048399812567223257,0.00013492797142955482,0.010381659681015728,-0.015814954058078933,stem
己,404,0.5396039603960396,0.0007758539609876656,0.0003366013292432912,0.010724886827187315,-0.014471008444531502,stem
庚,407,0.5700245700245701,0.00022604810102268283,0.0009801271528184774,0.010240283299217693,-0.01895521157557799,stem
戊,406,0.5369458128078818,0.00048100884361870506,0.0003389765193780869,0.012839399720862562,-0.017220728583086015,stem
甲,408,0.5294117647058824,3.870494850096483e-05,0.00036879505792764,0.011112383995217147,-0.018011868842902845,stem
癸,402,0.5373134328358209,0.0002505652462884904,0.0006301216692585765,0.010098492833424415,-0.016067887172526905,stem
辛,407,0.5945945945945946,0.001085318367975508,0.0014019033292591576,0.01080439833095238,-0.01639257641832091,stem
丑,339,0.5014749262536873,-6.726846349123134e-05,0.0001304489618436655,0.010083677553486166,-0.01694997578176378,branch
亥,336,0.5982142857142857,0.0015848308660178444,0.001411003153506063,0.0102064977633351,-0.01267937877071379,branch
午,335,0.5194029850746269,-0.0004583268900978678,0.0002129946455513565,0.011636515583577716,-0.017198578664396502,branch
卯,339,0.5457227138643068,0.0009693879546951373,0.0007570659488558285,0.011990152915777721,-0.01588514170687082,branch
子,343,0.5597667638483965,0.00023422270963385412,0.0007688865190149663,0.009805909153657467,-0.016389912290520114,branch
寅,336,0.5386904761904762,0.0006699116552454128,0.0007269617484582103,0.011922682321022232,-0.015417842789246267,branch
巳,338,0.5710059171597633,0.0004179479662964699,0.001198292187578276,0.010589459708555857,-0.0169650513411527,branch
戌,337,0.5192878338278932,0.0006346982428073033,0.00032231746255573235,0.01029266801121818,-0.015207806810807911,branch
未,332,0.5632530120481928,0.00026908484784411463,0.0010588103749510358,0.01084263610905505,-0.01839882202799345,branch
申,339,0.5545722713864307,0.0011910122386576672,0.0005702879954376794,0.011284813805458564,-0.01399723428117231,branch
辰,341,0.5278592375366569,7.428829828022724e-05,0.00027052151629769483,0.010974325289212926,-0.01809650487628911,branch
酉,338,0.5591715976331361,0.0005185169218555197,0.0008925470602128005,0.010898333632770167,-0.01669903016087592,branch
丁丑,68,0.5588235294117647,0.0016446080722151816,0.0011164093659665753,0.010239011285661015,-0.013898605920507673,ganzhi_day
丁亥,66,0.5757575757575758,0.00238400682511747,0.0017797540858348615,0.010906145323820754,-0.015944147998265407,ganzhi_day
丁卯,67,0.4626865671641791,0.00012849458072923225,-0.00032584182951622687,0.01115140398926664,-0.015617308771736437,ganzhi_day
丁巳,67,0.4925373134328358,-0.00039864564524907156,-0.00017563888644944736,0.01021019591224085,-0.016135956037015065,ganzhi_day
丁未,66,0.6363636363636364,0.00030496463334659757,0.0013734410059441648,0.01026863642696265,-0.020653137722816933,ganzhi_day
丁酉,67,0.5373134328358209,-0.0008202024511556058,0.0003738140304867521,0.011627875183209051,-0.019648509602429406,ganzhi_day
丙午,67,0.4925373134328358,0.00028943754863480856,-0.0007819660444884358,0.009040106308694125,-0.01405629746508924,ganzhi_day
丙子,68,0.5588235294117647,-0.0003060329825563078,0.0009441181489985295,0.00855818616810914,-0.015518630861040389,ganzhi_day
丙寅,68,0.5441176470588235,0.0013298150436363908,0.0003596224226392053,0.014192025912339154,-0.01361458309018076,ganzhi_day
丙戌,66,0.5303030303030303,0.0006198211832878598,0.0009838094113527873,0.008422065471818207,-0.014645194204289752,ganzhi_day
丙申,67,0.5223880597014925,0.0014938910155348347,0.00013474959807435738,0.010361551224283966,-0.014400398633944133,ganzhi_day
丙辰,69,0.5942028985507246,0.0009530078879386704,0.0013268381447011368,0.010120970614149277,-0.017535948179929938,ganzhi_day
乙丑,68,0.5147058823529411,0.00020153900997481894,0.000191317329258478,0.009156126777118282,-0.0154843827607693,ganzhi_day
乙亥,67,0.6268656716417911,0.0016809636617484765,0.0016570786727996278,0.009631012756135884,-0.01239990153596986,ganzhi_day
乙卯,69,0.6231884057971014,0.0030591156209872484,0.002056155374497548,0.01449976286946994,-0.016106432519907156,ganzhi_day
乙巳,69,0.5507246376811594,-0.0005427792486189833,0.00033848822695636827,0.01115254318224837,-0.02144713063120309,ganzhi_day
乙未,67,0.5522388059701493,0.0003103787433430439,0.0007998374933346764,0.011816048915474556,-0.014491623960425325,ganzhi_day
乙酉,68,0.5294117647058824,-0.0021870207053694005,0.000646431659108937,0.011841606051039554,-0.019668655412579672,ganzhi_day
壬午,66,0.48484848484848486,0.00021751689971918645,-0.00026787355239138444,0.009346359227826988,-0.015794037559799412,ganzhi_day
壬子,69,0.463768115942029,0.00010301787358932641,-0.0008763589040255981,0.011339889714282942,-0.015241247675248459,ganzhi_day
壬寅,66,0.5606060606060606,0.00012788775576827617,0.001120927831710139,0.010738660536593012,-0.01596338203702921,ganzhi_day
壬戌,68,0.4852941176470588,0.000543201590966034,-0.00024422715999827815,0.010028965402619685,-0.01075375106118066,ganzhi_day
壬申,68,0.5147058823529411,0.0010746119319170629,0.0004610483263304266,0.010774974561425357,-0.0161240366884026,ganzhi_day
壬辰,68,0.5294117647058824,0.0008250438353142287,0.00025905160581285447,0.010259361622693157,-0.013659243843837548,ganzhi_day
己丑,67,0.43283582089552236,-0.00023630005904895667,-0.0006517972440622799,0.010639639163556716,-0.01165586815584505,ganzhi_day
己亥,69,0.5797101449275363,0.0019350341836195267,0.0006687752757714716,0.006825557142510973,-0.008462291433317714,ganzhi_day
己卯,68,0.5735294117647058,0.0011805069460645676,0.0007151691028518536,0.012346975023575447,-0.01609514962204837,ganzhi_day
己巳,67,0.5970149253731343,0.00035121561832969847,0.0014799948928487794,0.01115147184624998,-0.02132419343571111,ganzhi_day
己未,66,0.45454545454545453,-0.00021363737634994164,-0.000527396416154402,0.011391828676509924,-0.013611924284423454,ganzhi_day
己酉,67,0.5970149253731343,0.0015828939343905282,0.0008080111124224576,0.011392080172450407,-0.014136120364765326,ganzhi_day
庚午,67,0.582089552238806,9.907884403463774e-05,0.0012755258980974293,0.010244272008396596,-0.018508085139919937,ganzhi_day
庚子,69,0.6956521739130435,0.0004199562831153467,0.002310426660138587,0.01056739321958609,-0.02400123292317753,ganzhi_day
庚寅,68,0.5882352941176471,0.0023884482806691733,0.0018054725759397705,0.008770693379653412,-0.008967002938784652,ganzhi_day
庚戌,69,0.5507246376811594,0.0010832356225162966,0.001444699294033569,0.010545790343438038,-0.015670230010878906,ganzhi_day
庚申,66,0.5151515151515151,-0.001720444280917553,4.902541452145304e-05,0.012076108195705348,-0.023037967185663394,ganzhi_day
庚辰,68,0.4852941176470588,-0.0009885604039355511,-0.00045949345334733716,0.008755621193245008,-0.018455275493358604,ganzhi_day
戊午,68,0.6029411764705882,-0.0005343520976361012,0.001020657767236588,0.01751900391277864,-0.01838016028238861,ganzhi_day
戊子,70,0.4714285714285714,-0.00048137548685926854,-0.0009905606248744037,0.008907721578984559,-0.01381979086002778,ganzhi_day
戊寅,67,0.5074626865671642,0.0005176001934521087,3.808587325715429e-05,0.008863636410293458,-0.014248330002458686,ganzhi_day
戊戌,66,0.5303030303030303,0.0009919085841284755,0.00014866523735179715,0.011399782466148938,-0.014206570219937958,ganzhi_day
戊申,68,0.5588235294117647,0.002114530169191522,0.0011862698841197394,0.014427625507001988,-0.011428515154723628,ganzhi_day
戊辰,67,0.5522388059701493,0.00031923262999707124,0.0007026178887243884,0.013932612470113265,-0.02035450137828928,ganzhi_day
甲午,67,0.43283582089552236,-0.00235209371990821,-0.0012531829977877607,0.009797824431628977,-0.023353483224150894,ganzhi_day
甲子,67,0.6119402985074627,0.0014740253654592125,0.0022765095613401787,0.009536968508438893,-0.016243380040228295,ganzhi_day
甲寅,67,0.4925373134328358,-0.0010577820109301072,-7.195338728738232e-05,0.015491616135945603,-0.020299765313124184,ganzhi_day
甲戌,68,0.5,-6.120327886370161e-05,-0.0001425800177358716,0.011049876714785866,-0.01610020095095404,ganzhi_day
甲申,70,0.6571428571428571,0.0028621444361327138,0.0016806680607138746,0.0075499543808558245,-0.006313449329420334,ganzhi_day
甲辰,69,0.4782608695652174,-0.000734705711561806,-0.0004657806483666649,0.0113532599965702,-0.017511626289220428,ganzhi_day
癸丑,67,0.4925373134328358,-0.0016423128798779805,-2.1154171602644212e-05,0.010843162836346735,-0.02047641446129268,ganzhi_day
癸亥,65,0.5692307692307692,0.0014808327348820377,0.0006871595099910977,0.008577499043013314,-0.011578692914491383,ganzhi_day
癸卯,68,0.4852941176470588,-0.00012886175546484237,-0.0004494521794781159,0.01142223062387115,-0.013119143690107943,ganzhi_day
癸巳,67,0.5671641791044776,-0.0005790954653402974,0.0008282798402603486,0.009523143073648321,-0.022023393398952082,ganzhi_day
癸未,67,0.582089552238806,0.0008270747207689493,0.0011854836499192167,0.010124439683892953,-0.017192489479043938,ganzhi_day
癸酉,68,0.5294117647058824,0.0015684713742699266,0.0009473910040425082,0.009772277236974098,-0.015141017432018733,ganzhi_day
辛丑,69,0.5072463768115942,-0.0003257238232513431,0.00045145233705135013,0.009485946182349724,-0.017023024976463973,ganzhi_day
辛亥,69,0.6376811594202898,0.0004748212862321013,0.0016062180948777094,0.013843069891997059,-0.018581273404100783,ganzhi_day
辛卯,67,0.582089552238806,0.0005585452078192766,0.0009444852555358096,0.010066370809512254,-0.013363115510984624,ganzhi_day
辛巳,68,0.6470588235294118,0.003245520422710509,0.0027026369019349517,0.010608322228091868,-0.012174676200846229,ganzhi_day
辛未,66,0.5909090909090909,0.00010756346101459426,0.0019426095746715166,0.010817195698294368,-0.018190115748069863,ganzhi_day
辛酉,68,0.6029411764705882,0.00244440801066456,0.0014740453528151454,0.009242475625558329,-0.010487884393348624,ganzhi_day
