trade_year,li_chun_date_yyyymmdd,li_chun_time_hm,market_close_hm,trade_date,li_chun_year,year_stem,year_element,is_before_li_chun_date,li_chun_after_close
2010,20100203,17:47,16:00,20100201,2009,己,土,1,1
2010,20100203,17:47,16:00,20100202,2009,己,土,1,1
2010,20100203,17:47,16:00,20100203,2009,己,土,0,1
2010,20100203,17:47,16:00,20100204,2010,庚,金,0,1
2010,20100203,17:47,16:00,20100205,2010,庚,金,0,1
2011,20110203,23:32,16:00,20110131,2010,庚,金,1,1
2011,20110203,23:32,16:00,20110201,2010,庚,金,1,1
2011,20110203,23:32,16:00,20110202,2010,庚,金,1,1
2011,20110203,23:32,16:00,20110203,2010,庚,金,0,1
2011,20110203,23:32,16:00,20110204,2011,辛,金,0,1
2012,20120204,05:22,16:00,20120201,2011,辛,金,1,0
2012,20120204,05:22,16:00,20120202,2011,辛,金,1,0
2012,20120204,05:22,16:00,20120203,2011,辛,金,1,0
2012,20120204,05:22,16:00,20120206,2012,壬,水,0,0
2012,20120204,05:22,16:00,20120207,2012,壬,水,0,0
2013,20130203,11:13,16:00,20130131,2012,壬,水,1,0
2013,20130203,11:13,16:00,20130201,2012,壬,水,1,0
2013,20130203,11:13,16:00,20130204,2013,癸,水,0,0
2013,20130203,11:13,16:00,20130205,2013,癸,水,0,0
2013,20130203,11:13,16:00,20130206,2013,癸,水,0,0
2014,20140203,17:03,16:00,20140131,2013,癸,水,1,1
2014,20140203,17:03,16:00,20140203,2013,癸,水,0,1
2014,20140203,17:03,16:00,20140204,2014,甲,木,0,1
2014,20140203,17:03,16:00,20140205,2014,甲,木,0,1
2014,20140203,17:03,16:00,20140206,2014,甲,木,0,1
2015,20150203,22:58,16:00,20150202,2014,甲,木,1,1
2015,20150203,22:58,16:00,20150203,2014,甲,木,0,1
2015,20150203,22:58,16:00,20150204,2015,乙,木,0,1
2015,20150203,22:58,16:00,20150205,2015,乙,木,0,1
2015,20150203,22:58,16:00,20150206,2015,乙,木,0,1
2016,20160204,04:46,16:00,20160201,2015,乙,木,1,0
2016,20160204,04:46,16:00,20160202,2015,乙,木,1,0
2016,20160204,04:46,16:00,20160203,2015,乙,木,1,0
2016,20160204,04:46,16:00,20160204,2016,丙,火,0,0
2016,20160204,04:46,16:00,20160205,2016,丙,火,0,0
2017,20170203,10:34,16:00,20170131,2016,丙,火,1,0
2017,20170203,10:34,16:00,20170201,2016,丙,火,1,0
2017,20170203,10:34,16:00,20170202,2016,丙,火,1,0
2017,20170203,10:34,16:00,20170203,2017,丁,火,0,0
2017,20170203,10:34,16:00,20170206,2017,丁,火,0,0
2018,20180203,16:28,16:00,20180131,2017,丁,火,1,1
2018,20180203,16:28,16:00,20180201,2017,丁,火,1,1
2018,20180203,16:28,16:00,20180202,2017,丁,火,1,1
2018,20180203,16:28,16:00,20180205,2018,戊,土,0,1
2018,20180203,16:28,16:00,20180206,2018,戊,土,0,1
2019,20190203,22:14,16:00,20190131,2018,戊,土,1,1
2019,20190203,22:14,16:00,20190201,2018,戊,土,1,1
2019,20190203,22:14,16:00,20190204,2019,己,土,0,1
2019,20190203,22:14,16:00,20190205,2019,己,土,0,1
2019,20190203,22:14,16:00,20190206,2019,己,土,0,1
2020,20200204,04:03,16:00,20200203,2019,己,土,1,0
2020,20200204,04:03,16:00,20200204,2020,庚,金,0,0
2020,20200204,04:03,16:00,20200205,2020,庚,金,0,0
2020,20200204,04:03,16:00,20200206,2020,庚,金,0,0
2020,20200204,04:03,16:00,20200207,2020,庚,金,0,0
2021,20210203,09:58,16:00,20210201,2020,庚,金,1,0
2021,20210203,09:58,16:00,20210202,2020,庚,金,1,0
2021,20210203,09:58,16:00,20210203,2021,辛,金,0,0
2021,20210203,09:58,16:00,20210204,2021,辛,金,0,0
2021,20210203,09:58,16:00,20210205,2021,辛,金,0,0
2022,20220203,15:50,16:00,20220131,2021,辛,金,1,0
2022,20220203,15:50,16:00,20220201,2021,辛,金,1,0
2022,20220203,15:50,16:00,20220202,2021,辛,金,1,0
2022,20220203,15:50,16:00,20220203,2022,壬,水,0,0
2022,20220203,15:50,16:00,20220204,2022,壬,水,0,0
2023,20230203,21:42,16:00,20230131,2022,壬,水,1,1
2023,20230203,21:42,16:00,20230201,2022,壬,水,1,1
2023,20230203,21:42,16:00,20230202,2022,壬,水,1,1
2023,20230203,21:42,16:00,20230203,2022,壬,水,0,1
2023,20230203,21:42,16:00,20230206,2023,癸,水,0,1
2024,20240204,03:27,16:00,20240201,2023,癸,水,1,0
2024,20240204,03:27,16:00,20240202,2023,癸,水,1,0
2024,20240204,03:27,16:00,20240205,2024,甲,木,0,0
2024,20240204,03:27,16:00,20240206,2024,甲,木,0,0
2024,20240204,03:27,16:00,20240207,2024,甲,木,0,0
2025,20250203,09:10,16:00,20250131,2024,甲,木,1,0
2025,20250203,09:10,16:00,20250203,2025,乙,木,0,0
2025,20250203,09:10,16:00,20250204,2025,乙,木,0,0
2025,20250203,09:10,16:00,20250205,2025,乙,木,0,0
2025,20250203,09:10,16:00,20250206,2025,乙,木,0,0
2026,20260203,15:02,16:00,20260202,2025,乙,木,1,0
2026,20260203,15:02,16:00,20260203,2026,丙,火,0,0
2026,20260203,15:02,16:00,20260204,2026,丙,火,0,0
2026,20260203,15:02,16:00,20260205,2026,丙,火,0,0
2026,20260203,15:02,16:00,20260206,2026,丙,火,0,0
