group_col,target,k_groups,t_obs,p_empirical,t_perm_mean,t_perm_p95,t_perm_p99,ts_code,n
stem,ret_1d,10,0.0005822216633102209,0.9370629370629371,0.0009576986024023003,0.0014519547175596923,0.0017091430145060999,spx,4053
stem,up,10,0.04808583565060254,0.32967032967032966,0.044213099495935555,0.06750688092299519,0.07984209227732542,spx,4053
branch,ret_1d,12,0.0010817341613525533,0.5034965034965035,0.001112286777216555,0.0016662011836173583,0.0019183334625862052,spx,4053
branch,up,12,0.05170552677029361,0.43156843156843155,0.05076755585322824,0.0745323577640511,0.08818044569098006,spx,4053
ganzhi_day,ret_1d,60,0.0028551904245734784,0.8471528471528471,0.0034721308116585155,0.00459045524920944,0.005477092493588457,spx,4053
ganzhi_day,up,60,0.14914341496905137,0.5614385614385614,0.15338540832880823,0.19975989777242587,0.2276681792338472,spx,4053
stem,ret_1d,10,0.0008382987625345552,0.8401598401598401,0.0011352915108123179,0.0016474789745833953,0.0019086690047976321,ndq,4054
stem,up,10,0.03121981020352993,0.8641358641358642,0.04352061355018878,0.0650111031635271,0.07579943000877959,ndq,4054
branch,ret_1d,12,0.001563034289872491,0.21578421578421578,0.0013053696117010312,0.001945443991988667,0.0022108622616779767,ndq,4054
branch,up,12,0.05992705513688379,0.22677322677322678,0.050314438492744716,0.07335069628715728,0.0855692132119995,ndq,4054
ganzhi_day,ret_1d,60,0.00383253449407961,0.6183816183816184,0.0040974877707262766,0.005319883454646764,0.006167056997892359,ndq,4054
ganzhi_day,up,60,0.14669607359470682,0.6223776223776224,0.15399913668744217,0.20025182425317917,0.2251487067446614,ndq,4054
stem,ret_1d,10,0.0008878106714830761,0.7812187812187812,0.0011431963061541968,0.0017131231170209613,0.0020440458042585825,ndx,4053
stem,up,10,0.023051189387672144,0.975024975024975,0.04317851634543748,0.06479065745212564,0.07654797078923693,ndx,4053
branch,ret_1d,12,0.0015719113770274232,0.2177822177822178,0.001330085928925222,0.001958449843218406,0.0023570424618847476,ndx,4053
branch,up,12,0.055730323217369926,0.3156843156843157,0.050049889686456,0.07248583139078846,0.08416300800892595,ndx,4053
ganzhi_day,ret_1d,60,0.0037323093161686243,0.6913086913086913,0.004125065297136351,0.005439936413734061,0.00646335611547746,ndx,4053
ganzhi_day,up,60,0.1308943266425741,0.8361638361638362,0.15350409800208809,0.19915595965398764,0.21455023918159014,ndx,4053
stem,ret_1d,10,0.0005642770676862266,0.939060939060939,0.0009272426748869543,0.0013967870956066203,0.0016935795206881273,dji,4053
stem,up,10,0.034834511518449296,0.7792207792207793,0.04430036762790441,0.06708310017539927,0.08244556084581992,dji,4053
branch,ret_1d,12,0.0008931826470717027,0.7202797202797203,0.0010661856232220012,0.0015855563929317118,0.0018853343049834207,dji,4053
branch,up,12,0.0440536031905609,0.6693306693306693,0.05066802346997811,0.07168225756500846,0.0857693406527515,dji,4053
ganzhi_day,ret_1d,60,0.002755523465781953,0.8671328671328671,0.0033761287514597928,0.004512452067427971,0.005217364521531851,dji,4053
ganzhi_day,up,60,0.13957599125026238,0.7082917082917083,0.15387560854579221,0.19927748378757582,0.22439100397987533,dji,4053
